ds,day_of_week,promotion,holiday,temperature_c,units
2024-10-25,3,1,0,20.0,140
2024-10-26,4,0,0,19.7,109
2024-10-27,5,0,0,21.8,103
2024-10-28,6,1,0,23.4,129
2024-11-01,0,0,0,23.1,103
2024-11-02,1,1,0,22.2,125
2024-11-03,2,0,0,23.1,125
2024-11-04,3,0,0,21.9,112
2024-11-05,4,1,0,22.9,111
2024-11-06,5,0,0,22.2,95
2024-11-07,6,0,0,21.2,110
2024-11-08,0,0,0,21.8,112
2024-11-09,1,0,0,20.7,114
2024-11-10,2,0,0,25.2,124
2024-11-11,3,0,0,22.4,108
2024-11-12,4,0,0,23.2,96
2024-11-13,5,1,0,24.1,123
2024-11-14,6,0,0,25.2,94
2024-11-15,0,0,0,21.7,115
2024-11-16,1,0,0,23.4,113
2024-11-17,2,0,0,24.9,135
2024-11-18,3,0,0,25.1,127
2024-11-19,4,0,0,23.4,103
2024-11-20,5,0,0,23.2,109
2024-11-21,6,0,0,23.2,106
2024-11-22,0,0,0,27.3,118
2024-11-23,1,0,0,26.2,125
2024-11-24,2,1,0,21.1,147
2024-11-25,3,0,0,25.5,113
2024-11-26,4,0,0,26.1,103
2024-11-27,5,1,0,21.0,111
2024-11-28,6,0,0,23.9,97
2024-12-01,0,0,0,26.7,112
2024-12-02,1,0,0,23.4,131
2024-12-03,2,0,0,23.0,135
2024-12-04,3,1,0,21.2,137
2024-12-05,4,0,0,19.8,107
2024-12-06,5,0,0,23.0,88
2024-12-07,6,0,0,22.3,98
2024-12-08,0,0,0,25.1,110
2024-12-09,1,1,0,25.2,137
2024-12-10,2,0,0,19.8,123
2024-12-11,3,0,0,25.3,111
2024-12-12,4,0,0,24.9,98
2024-12-13,5,0,0,21.0,95
2024-12-14,6,0,0,20.1,93
2024-12-15,0,0,0,24.1,107
2024-12-16,1,0,0,22.2,124
2024-12-17,2,1,0,21.8,164
2024-12-18,3,0,0,21.6,128
2024-12-19,4,0,0,23.6,110
2024-12-20,5,0,0,23.5,102
2024-12-21,6,1,0,21.7,128
2024-12-22,0,0,0,25.8,108
2024-12-23,1,0,0,22.9,119
2024-12-24,2,1,0,24.8,151
2024-12-25,3,1,0,26.2,148
2024-12-26,4,0,0,19.1,97
2024-12-27,5,0,0,21.8,96
2024-12-28,6,0,0,23.8,101
2025-01-01,0,0,0,22.5,114
2025-01-02,1,1,0,19.3,145
2025-01-03,2,0,0,19.2,130
2025-01-04,3,0,0,20.6,108
2025-01-05,4,0,0,24.4,114
2025-01-06,5,0,0,24.1,103
2025-01-07,6,0,0,22.3,96
2025-01-08,0,0,0,20.3,104
2025-01-09,1,0,0,20.7,136
2025-01-10,2,0,0,20.6,120
2025-01-11,3,0,0,20.6,116
2025-01-12,4,1,0,21.3,126
2025-01-13,5,0,0,15.2,98
2025-01-14,6,0,0,17.0,96
2025-01-15,0,0,0,22.5,107
2025-01-16,1,0,0,19.3,120
2025-01-17,2,0,0,21.1,128
2025-01-18,3,0,0,19.6,115
2025-01-19,4,0,0,18.5,96
2025-01-20,5,0,0,15.5,74
2025-01-21,6,0,0,19.6,92
2025-01-22,0,0,0,17.0,105
2025-01-23,1,0,0,19.4,119
2025-01-24,2,0,0,21.9,123
2025-01-25,3,0,0,17.3,112
2025-01-26,4,0,0,18.3,117
2025-01-27,5,0,0,17.4,86
2025-01-28,6,0,0,13.7,87
2025-02-01,0,0,1,15.8,91
2025-02-02,1,0,1,17.7,117
2025-02-03,2,0,0,22.0,125
2025-02-04,3,0,0,15.6,122
2025-02-05,4,0,0,14.6,115
2025-02-06,5,1,0,15.5,120
2025-02-07,6,0,0,15.2,92
2025-02-08,0,0,0,18.1,100
2025-02-09,1,1,0,14.9,149
2025-02-10,2,0,0,16.3,133
2025-02-11,3,0,0,13.8,119
2025-02-12,4,1,0,12.8,116
2025-02-13,5,0,0,15.9,96
2025-02-14,6,0,0,14.1,93
2025-02-15,0,0,0,10.6,103
2025-02-16,1,0,0,13.2,122
2025-02-17,2,0,0,11.5,123
2025-02-18,3,0,0,11.0,114
2025-02-19,4,0,0,12.9,89
2025-02-20,5,0,0,14.0,99
2025-02-21,6,0,0,13.8,86
2025-02-22,0,1,0,13.0,134
2025-02-23,1,0,0,9.4,124
2025-02-24,2,0,0,11.0,117
2025-02-25,3,0,0,10.1,120
2025-02-26,4,0,0,7.6,99
2025-02-27,5,1,0,6.8,96
2025-02-28,6,0,0,10.4,106
2025-03-01,0,1,0,8.0,122
2025-03-02,1,0,0,9.7,119
2025-03-03,2,0,0,8.9,128
2025-03-04,3,0,0,9.0,112
2025-03-05,4,0,0,10.4,91
2025-03-06,5,0,0,5.6,98
2025-03-07,6,0,0,8.0,86
2025-03-08,0,0,0,8.9,107
2025-03-09,1,0,0,8.4,120
2025-03-10,2,0,0,11.4,108
2025-03-11,3,1,0,6.3,142
2025-03-12,4,0,0,6.6,87
2025-03-13,5,0,0,9.8,107
2025-03-14,6,0,0,7.9,102
2025-03-15,0,0,0,6.5,111
2025-03-16,1,0,0,4.4,116
2025-03-17,2,0,0,5.9,131
2025-03-18,3,0,0,8.8,105
2025-03-19,4,0,0,4.5,113
2025-03-20,5,0,0,6.3,96
2025-03-21,6,0,0,8.3,92
2025-03-22,0,0,0,4.9,106
2025-03-23,1,1,0,5.0,142
2025-03-24,2,0,0,5.1,112
2025-03-25,3,0,0,3.5,110
2025-03-26,4,0,0,5.0,92
2025-03-27,5,0,0,8.3,95
2025-03-28,6,0,0,3.6,91
2025-04-01,0,1,0,4.7,124
2025-04-02,1,0,0,6.6,127
2025-04-03,2,0,0,8.3,121
2025-04-04,3,0,0,6.9,117
2025-04-05,4,0,0,5.7,96
2025-04-06,5,0,0,4.4,87
2025-04-07,6,0,0,5.7,76
2025-04-08,0,0,0,1.4,105
2025-04-09,1,0,0,4.1,114
2025-04-10,2,1,0,4.8,138
2025-04-11,3,0,0,6.3,128
2025-04-12,4,0,0,4.2,108
2025-04-13,5,0,0,7.0,90
2025-04-14,6,0,0,3.2,87
2025-04-15,0,0,0,2.6,101
2025-04-16,1,0,0,7.8,117
2025-04-17,2,0,0,3.6,114
2025-04-18,3,0,0,0.8,104
2025-04-19,4,0,0,5.6,104
2025-04-20,5,1,0,3.1,123
2025-04-21,6,1,0,6.6,112
2025-04-22,0,0,0,7.3,117
2025-04-23,1,0,0,3.9,118
2025-04-24,2,0,0,3.6,118
2025-04-25,3,1,0,1.8,126
2025-04-26,4,0,0,4.2,88
2025-04-27,5,0,0,6.4,110
2025-04-28,6,0,0,3.9,87
2025-05-01,0,0,0,3.1,100
2025-05-02,1,0,0,4.5,128
2025-05-03,2,0,0,5.1,116
2025-05-04,3,1,0,-1.3,118
2025-05-05,4,0,0,2.7,96
2025-05-06,5,1,0,0.8,110
2025-05-07,6,0,0,6.3,93
2025-05-08,0,0,1,7.6,92
2025-05-09,1,0,1,2.6,106
2025-05-10,2,0,0,3.6,113
2025-05-11,3,0,0,2.0,122
2025-05-12,4,0,0,3.9,118
2025-05-13,5,0,0,6.4,99
2025-05-14,6,0,0,1.0,94
2025-05-15,0,0,0,3.7,103
2025-05-16,1,0,0,6.3,114
2025-05-17,2,0,0,3.9,119
2025-05-18,3,0,0,3.7,126
2025-05-19,4,0,0,5.1,94
2025-05-20,5,0,0,7.3,91
2025-05-21,6,0,0,7.7,97
2025-05-22,0,0,0,6.1,113
2025-05-23,1,0,0,2.5,130
2025-05-24,2,0,0,7.6,125
2025-05-25,3,0,0,9.4,116
2025-05-26,4,0,0,6.0,100
2025-05-27,5,0,0,11.5,105
2025-05-28,6,0,0,5.3,89
2025-06-01,0,0,0,9.1,107
2025-06-02,1,1,0,8.3,141
2025-06-03,2,0,0,10.3,130
2025-06-04,3,0,0,8.0,126
2025-06-05,4,0,0,8.0,105
2025-06-06,5,1,0,9.8,125
2025-06-07,6,0,0,8.4,97
2025-06-08,0,0,0,8.2,123
2025-06-09,1,0,0,13.3,129
2025-06-10,2,1,0,11.5,157
2025-06-11,3,0,0,11.2,123
2025-06-12,4,1,0,9.9,142
2025-06-13,5,0,0,7.9,109
2025-06-14,6,0,0,7.7,103
2025-06-15,0,0,0,11.3,112
2025-06-16,1,0,0,12.7,136
2025-06-17,2,0,0,9.6,120
2025-06-18,3,0,0,11.7,136
2025-06-19,4,0,0,7.9,114
2025-06-20,5,0,0,14.1,108
2025-06-21,6,0,0,7.5,109
2025-06-22,0,0,0,11.6,115
2025-06-23,1,0,0,13.6,139
2025-06-24,2,0,0,13.8,136
2025-06-25,3,1,0,11.4,140
2025-06-26,4,1,0,13.6,132
2025-06-27,5,0,0,12.5,93
2025-06-28,6,0,0,15.8,101
2025-07-01,0,0,0,17.6,116
2025-07-02,1,0,0,17.0,125
2025-07-03,2,0,0,14.2,123
2025-07-04,3,0,0,14.6,119
2025-07-05,4,0,0,16.3,116
2025-07-06,5,1,0,16.6,132
2025-07-07,6,0,0,17.2,106
2025-07-08,0,0,0,18.0,118
2025-07-09,1,0,0,15.6,141
2025-07-10,2,0,0,13.9,143
2025-07-11,3,0,0,20.1,129
2025-07-12,4,0,0,14.2,107
2025-07-13,5,0,0,19.2,119
2025-07-14,6,0,0,17.4,111
2025-07-15,0,0,0,14.2,110
2025-07-16,1,0,0,17.3,135
2025-07-17,2,0,0,19.7,145
2025-07-18,3,0,0,17.0,125
2025-07-19,4,0,0,20.4,110
2025-07-20,5,1,0,22.2,123
2025-07-21,6,0,0,19.1,115
2025-07-22,0,0,0,18.3,128
2025-07-23,1,1,0,17.2,163
2025-07-24,2,1,0,18.7,157
2025-07-25,3,1,0,21.6,148
2025-07-26,4,0,0,17.4,123
2025-07-27,5,0,0,20.1,119
2025-07-28,6,0,0,20.8,109
2025-08-01,0,0,0,19.4,120
2025-08-02,1,1,0,21.4,150
2025-08-03,2,0,0,20.8,143
2025-08-04,3,0,0,19.0,140
2025-08-05,4,0,0,22.4,110
2025-08-06,5,0,0,20.2,116
2025-08-07,6,1,0,21.5,128
2025-08-08,0,0,0,20.7,126
2025-08-09,1,0,0,22.1,140
2025-08-10,2,0,0,20.2,135
2025-08-11,3,1,0,18.8,162
2025-08-12,4,1,0,18.7,131
2025-08-13,5,1,0,21.8,134
2025-08-14,6,0,0,21.7,116
2025-08-15,0,0,1,20.9,111
2025-08-16,1,0,1,27.8,128
2025-08-17,2,0,0,23.9,150
2025-08-18,3,0,0,22.5,130
2025-08-19,4,0,0,24.8,122
2025-08-20,5,1,0,21.6,128
2025-08-21,6,0,0,26.2,117
2025-08-22,0,0,0,18.5,114
2025-08-23,1,0,0,22.3,138
2025-08-24,2,0,0,24.3,138
2025-08-25,3,0,0,25.5,127
2025-08-26,4,0,0,24.9,119
2025-08-27,5,0,0,24.8,115
2025-08-28,6,0,0,23.8,115
2025-09-01,0,0,0,24.5,131
2025-09-02,1,0,0,21.5,138
2025-09-03,2,0,0,21.3,131
2025-09-04,3,0,0,24.4,123
2025-09-05,4,0,0,25.6,128
2025-09-06,5,0,0,23.7,112
2025-09-07,6,0,0,27.4,121
2025-09-08,0,0,0,24.8,121
2025-09-09,1,0,0,24.4,146
2025-09-10,2,1,0,26.1,168
2025-09-11,3,0,0,23.7,143
2025-09-12,4,0,0,27.4,135
2025-09-13,5,1,0,25.7,146
2025-09-14,6,0,0,24.1,123
2025-09-15,0,0,0,20.5,111
2025-09-16,1,0,0,21.8,148
2025-09-17,2,0,0,24.3,146
2025-09-18,3,1,0,23.9,156
2025-09-19,4,0,0,23.9,120
2025-09-20,5,0,0,21.6,113
2025-09-21,6,0,0,22.8,120
2025-09-22,0,1,0,23.6,151
2025-09-23,1,0,0,23.5,133
2025-09-24,2,1,0,24.3,178
2025-09-25,3,0,0,23.4,128
2025-09-26,4,0,0,22.1,128
2025-09-27,5,0,0,22.5,109
2025-09-28,6,0,0,23.9,130
2025-10-01,0,1,0,23.1,162
2025-10-02,1,0,0,21.9,129
2025-10-03,2,0,0,19.7,141
2025-10-04,3,0,0,18.9,140
2025-10-05,4,0,0,25.5,129
2025-10-06,5,0,0,21.5,111
2025-10-07,6,0,0,18.9,117
2025-10-08,0,0,0,22.6,120
2025-10-09,1,0,0,21.9,133
2025-10-10,2,0,0,24.2,148
2025-10-11,3,0,0,18.1,137
2025-10-12,4,0,0,21.4,119
2025-10-13,5,0,0,20.9,113
2025-10-14,6,0,0,17.7,115
2025-10-15,0,0,0,21.6,116
2025-10-16,1,0,0,20.3,145
2025-10-17,2,0,0,20.7,146
2025-10-18,3,0,0,18.9,134
2025-10-19,4,0,0,21.0,127
2025-10-20,5,0,0,16.3,117
2025-10-21,6,0,0,15.1,102
2025-10-22,0,0,0,19.0,135
2025-10-23,1,0,0,19.3,133
2025-10-24,2,1,0,19.2,171
2025-10-25,3,0,0,19.7,142
2025-10-26,4,0,0,20.1,131
2025-10-27,5,0,0,15.9,112
2025-10-28,6,0,0,16.5,110
2025-11-01,0,1,0,19.1,162
2025-11-02,1,0,0,20.6,123
2025-11-03,2,0,0,16.9,136
2025-11-04,3,1,0,16.3,144
2025-11-05,4,0,0,17.5,118
2025-11-06,5,0,0,17.5,114
2025-11-07,6,0,0,16.1,115
2025-11-08,0,0,0,15.1,108
2025-11-09,1,0,0,10.8,136
2025-11-10,2,0,0,17.7,158
2025-11-11,3,1,0,17.9,156
2025-11-12,4,1,0,13.5,145
2025-11-13,5,0,0,12.4,118
2025-11-14,6,0,0,15.7,119
2025-11-15,0,1,0,13.5,138
2025-11-16,1,0,0,14.0,135
2025-11-17,2,0,0,14.5,139
2025-11-18,3,0,0,7.6,120
2025-11-19,4,0,0,13.3,113
2025-11-20,5,0,0,12.5,109
2025-11-21,6,0,0,14.2,107
2025-11-22,0,1,1,6.0,141
2025-11-23,1,0,1,11.3,108
2025-11-24,2,0,0,9.6,131
2025-11-25,3,0,0,13.2,122
2025-11-26,4,0,0,12.0,114
2025-11-27,5,0,0,9.5,108
2025-11-28,6,0,0,11.8,103
2025-12-01,0,0,0,10.5,121
2025-12-02,1,0,0,10.8,142
2025-12-03,2,0,0,9.3,144
2025-12-04,3,0,0,9.3,124
2025-12-05,4,0,0,8.9,127
2025-12-06,5,0,0,9.6,102
2025-12-07,6,0,0,5.0,103
2025-12-08,0,0,0,9.0,133
2025-12-09,1,1,0,10.1,157
2025-12-10,2,0,0,10.0,145
2025-12-11,3,0,0,8.8,128
2025-12-12,4,0,0,11.3,129
2025-12-13,5,1,0,3.0,132
2025-12-14,6,0,0,9.2,116
2025-12-15,0,0,0,5.4,125
2025-12-16,1,0,0,5.1,136
2025-12-17,2,0,0,7.4,141
2025-12-18,3,0,0,3.9,124
2025-12-19,4,1,0,6.1,137
2025-12-20,5,0,0,3.6,100
2025-12-21,6,0,0,5.7,113
2025-12-22,0,0,0,9.8,130
2025-12-23,1,0,0,4.7,131
2025-12-24,2,0,0,7.2,130
2025-12-25,3,1,0,5.4,156
2025-12-26,4,0,0,6.8,118
2025-12-27,5,0,0,7.0,110
2025-12-28,6,0,0,4.8,101
2026-01-01,0,0,0,7.3,129
2026-01-02,1,0,0,0.3,137
2026-01-03,2,0,0,4.4,136
2026-01-04,3,0,0,5.4,126
2026-01-05,4,0,0,5.0,109
2026-01-06,5,1,0,3.6,128
2026-01-07,6,0,0,5.4,115
2026-01-08,0,0,0,5.3,125
2026-01-09,1,0,0,5.9,133
2026-01-10,2,1,0,0.7,162
2026-01-11,3,0,0,2.1,127
2026-01-12,4,1,0,2.8,137
2026-01-13,5,0,0,3.1,102
2026-01-14,6,0,0,4.7,114
2026-01-15,0,0,0,1.2,121
2026-01-16,1,0,0,2.9,134
2026-01-17,2,0,0,3.7,133
2026-01-18,3,1,0,4.2,151
2026-01-19,4,0,0,4.1,110
2026-01-20,5,1,0,6.1,141
2026-01-21,6,1,0,2.8,130
2026-01-22,0,0,0,3.8,118
2026-01-23,1,0,0,6.1,143
2026-01-24,2,1,0,6.5,164
2026-01-25,3,1,0,3.8,149
2026-01-26,4,0,0,5.7,120
2026-01-27,5,0,0,4.8,108
2026-01-28,6,0,0,-0.2,110
2026-02-01,0,0,0,3.1,126
2026-02-02,1,0,0,3.0,127
2026-02-03,2,0,0,4.9,127
2026-02-04,3,0,0,1.1,135
2026-02-05,4,0,0,6.1,115
2026-02-06,5,0,0,5.0,122
2026-02-07,6,0,0,3.8,104
2026-02-08,0,0,0,4.7,111
2026-02-09,1,1,0,2.7,165
2026-02-10,2,0,0,8.0,138
2026-02-11,3,0,0,5.7,140
2026-02-12,4,0,0,5.7,111
2026-02-13,5,0,0,2.1,115
2026-02-14,6,0,0,5.2,106
2026-02-15,0,0,0,5.7,129
2026-02-16,1,0,0,5.4,150
2026-02-17,2,0,0,8.3,145
2026-02-18,3,1,0,2.7,160
2026-02-19,4,0,0,5.4,117
2026-02-20,5,0,0,4.1,122
