event_time,income,utilization,late_payments_12m,loan_amount,defaulted,period
2024-08-16,59615.87,0.295,1,7425.25,0,reference
2024-08-17,55973.4,0.318,0,15211.48,0,reference
2024-08-18,66305.37,0.4,0,18862.98,0,reference
2024-08-19,76894.78,0.456,2,21188.69,0,reference
2024-08-20,59295.14,0.471,2,11381.09,0,reference
2024-08-21,56063.87,0.446,0,17561.94,0,reference
2024-08-22,55743.6,0.321,2,4003.3,0,reference
2024-08-23,60262.17,0.328,1,7448.04,0,reference
2024-08-24,66799.07,0.193,0,15055.12,0,reference
2024-08-25,63721.66,0.392,1,10397.46,0,reference
2024-08-26,39804.93,0.464,0,19117.57,0,reference
2024-08-27,64120.51,0.438,0,20197.39,0,reference
2024-08-28,37886.4,0.348,1,11158.85,0,reference
2024-09-01,47629.89,0.216,0,24558.77,0,reference
2024-09-02,50544.84,0.419,0,7665.85,0,reference
2024-09-03,55918.06,0.173,1,22274.2,0,reference
2024-09-04,56287.57,0.345,0,14621.41,0,reference
2024-09-05,88162.7,0.161,1,9294.11,0,reference
2024-09-06,58911.63,0.182,2,23283.78,0,reference
2024-09-07,72949.58,0.093,1,7946.6,0,reference
2024-09-08,47392.33,0.385,2,13609.1,0,reference
2024-09-09,66646.76,0.045,2,7255.5,0,reference
2024-09-10,70677.42,0.46,0,11737.57,0,reference
2024-09-11,54467.46,0.252,1,11763.8,0,reference
2024-09-12,83381.56,0.494,1,10598.03,0,reference
2024-09-13,39270.85,0.461,0,8409.29,0,reference
2024-09-14,51109.02,0.356,1,15187.02,0,reference
2024-09-15,74945.4,0.604,0,12652.35,0,reference
2024-09-16,49488.89,0.361,0,12750.58,0,reference
2024-09-17,58128.56,0.364,2,9324.9,0,reference
2024-09-18,57359.78,0.238,0,3236.72,0,reference
2024-09-19,50696.91,0.518,0,23130.33,0,reference
2024-09-20,50126.15,0.508,2,16094.42,0,reference
2024-09-21,74952.17,0.17,1,15206.02,0,reference
2024-09-22,57477.96,0.199,1,7398.59,0,reference
2024-09-23,66888.98,0.264,1,13703.63,0,reference
2024-09-24,71298.38,0.39,0,3605.34,0,reference
2024-09-25,58575.36,0.21,2,16313.36,0,reference
2024-09-26,67685.99,0.15,2,11615.01,0,reference
2024-09-27,74643.17,0.6,2,1000,0,reference
2024-09-28,68111.15,0.544,0,21383.28,0,reference
2024-10-01,54878.55,0.201,0,3778.02,0,reference
2024-10-02,56058.72,0.471,0,17699.79,0,reference
2024-10-03,53939.23,0.471,2,10005.14,0,reference
2024-10-04,75062.15,0.416,1,19371.73,0,reference
2024-10-05,57307.51,0.128,0,14283.92,0,reference
2024-10-06,61785.85,0.539,0,5440.77,0,reference
2024-10-07,46321.01,0.396,0,10715.34,0,reference
2024-10-08,61951.61,0.293,0,7216.15,0,reference
2024-10-09,58986.79,0.445,1,25245.72,0,reference
2024-10-10,70829.93,0.254,1,1711.96,0,reference
2024-10-11,63063.81,0.27,0,27163.86,0,reference
2024-10-12,67978.57,0.473,2,8202.46,0,reference
2024-10-13,66576.8,0.431,0,12773.54,0,reference
2024-10-14,58051.49,0.37,0,7676.81,0,reference
2024-10-15,64832.06,0.418,0,10331.16,0,reference
2024-10-16,50195.94,0.61,0,9339.31,0,reference
2024-10-17,52973.74,0.186,0,5351.78,0,reference
2024-10-18,49060.93,0.216,2,7795.08,0,reference
2024-10-19,33975.11,0.35,1,11400.07,0,reference
2024-10-20,65642.63,0.532,2,4456.0,0,reference
2024-10-21,64920.71,0.399,2,18385.05,0,reference
2024-10-22,69335.77,0.216,2,13580.09,0,reference
2024-10-23,43564.2,0.415,2,10383.72,0,reference
2024-10-24,55959.42,0.158,2,13851.64,0,reference
2024-10-25,56947.79,0.476,2,23660.63,0,reference
2024-10-26,66164.45,0.072,1,13336.35,0,reference
2024-10-27,25132.42,0.189,1,12645.96,0,reference
2024-10-28,59118.11,0.326,0,23077.06,0,reference
2024-11-01,68201.77,0.499,0,13448.76,0,reference
2024-11-02,79275.64,0.278,2,23258.82,0,reference
2024-11-03,53149.83,0.374,2,16402.09,1,reference
2024-11-04,64659.34,0.285,1,13358.84,0,reference
2024-11-05,36068.75,0.285,2,21634.48,0,reference
2024-11-06,43826.18,0.341,1,16590.43,0,reference
2024-11-07,59618.45,0.19,2,13501.19,1,reference
2024-11-08,46334.18,0.395,1,27693.95,0,reference
2024-11-09,51073.32,0.068,1,6077.74,0,reference
2024-11-10,51743.57,0.217,2,13294.36,0,reference
2024-11-11,47662.32,0.155,1,7811.3,0,reference
2024-11-12,56644.81,0.36,2,11206.02,0,reference
2024-11-13,52509.23,0.456,2,14747.14,0,reference
2024-11-14,74014.75,0.26,0,2965.65,0,reference
2024-11-15,53384.96,0.184,0,1000,0,reference
2024-11-16,74670.04,0.325,2,8612.16,0,reference
2024-11-17,60386.79,0.366,1,19540.22,0,reference
2024-11-18,62043.14,0.319,0,13454.94,1,reference
2024-11-19,72337.91,0.241,1,23040.73,0,reference
2024-11-20,69044.55,0.467,0,5871.97,0,reference
2024-11-21,59411.6,0.261,2,9944.71,0,reference
2024-11-22,59873.08,0.545,2,14397.78,0,reference
2024-11-23,54982.97,0.305,2,6571.05,0,reference
2024-11-24,58048.07,0.5,2,20638.33,0,reference
2024-11-25,59932.61,0.446,2,19351.83,0,reference
2024-11-26,73058.17,0.356,1,13666.97,0,reference
2024-11-27,56771.63,0.275,1,12788.13,0,reference
2024-11-28,54335.11,0.01,0,13878.44,0,reference
2024-12-01,67632.48,0.409,0,21531.99,0,reference
2024-12-02,51832.16,0.401,1,20950.62,0,reference
2024-12-03,58823.75,0.256,1,12550.79,0,reference
2024-12-04,37181.97,0.373,0,11048.12,0,reference
2024-12-05,66114.47,0.59,2,13447.56,0,reference
2024-12-06,46775.44,0.361,1,13455.12,0,reference
2024-12-07,75398.35,0.042,2,20063.54,0,reference
2024-12-08,41629.62,0.011,0,1000,0,reference
2024-12-09,58095.92,0.402,1,1763.41,0,reference
2024-12-10,57676.22,0.382,2,22673.81,0,reference
2024-12-11,39971.45,0.346,2,13318.65,0,reference
2024-12-12,61682.29,0.206,2,11837.67,0,reference
2024-12-13,52124.58,0.174,2,26823.5,0,reference
2024-12-14,61358.68,0.261,0,9329.22,0,reference
2024-12-15,50916.94,0.047,0,17501.88,0,reference
2024-12-16,60000.18,0.606,2,15016.37,0,reference
2024-12-17,62904.33,0.01,2,20105.81,0,reference
2024-12-18,44657.46,0.3,2,5512.15,0,reference
2024-12-19,59010.61,0.243,0,15600.76,0,reference
2024-12-20,56419.06,0.586,2,20128.62,0,reference
2024-12-21,53854.48,0.374,1,18156.54,0,reference
2024-12-22,47574.41,0.432,0,3185.47,0,reference
2024-12-23,58036.7,0.43,0,14547.11,0,reference
2024-12-24,46272.51,0.458,1,28848.29,0,reference
2024-12-25,51269.88,0.344,1,17953.27,0,reference
2024-12-26,55160.97,0.568,2,24635.86,0,reference
2024-12-27,68527.2,0.429,2,19675.43,0,reference
2024-12-28,54587.2,0.047,0,19425.98,0,reference
2025-01-01,49625.26,0.255,2,4798.48,0,reference
2025-01-02,70224.86,0.379,0,20420.18,0,reference
2025-01-03,71378.71,0.683,0,8304.3,0,reference
2025-01-04,46454.77,0.186,2,27707.61,0,reference
2025-01-05,53360.14,0.458,1,24763.12,0,reference
2025-01-06,71338.93,0.203,0,19560.41,0,reference
2025-01-07,42627.02,0.562,0,20156.61,0,reference
2025-01-08,74849.98,0.198,1,6326.06,0,reference
2025-01-09,69884.9,0.623,1,20346.35,0,reference
2025-01-10,83730.26,0.358,2,10746.57,0,reference
2025-01-11,59991.15,0.516,1,18755.62,0,reference
2025-01-12,67179.62,0.168,2,21951.42,0,reference
2025-01-13,49765.44,0.167,0,18658.69,0,reference
2025-01-14,71643.53,0.245,2,12256.29,0,reference
2025-01-15,49988.42,0.522,1,8683.13,0,reference
2025-01-16,50319.47,0.325,2,15040.0,0,reference
2025-01-17,54135.36,0.18,2,21993.38,0,reference
2025-01-18,55503.21,0.54,0,12415.34,0,reference
2025-01-19,38548.95,0.399,0,14560.53,0,reference
2025-01-20,63424.11,0.621,1,23193.67,0,reference
2025-01-21,58147.42,0.523,1,12956.52,0,reference
2025-01-22,71605.46,0.351,2,15272.32,0,reference
2025-01-23,80218.69,0.225,0,13108.23,0,reference
2025-01-24,45586.49,0.438,0,1000,0,reference
2025-01-25,63970.37,0.771,0,36242.74,0,post_policy
2025-01-26,56775.1,0.683,3,1792.75,1,post_policy
2025-01-27,52873.13,0.676,5,13076.59,0,post_policy
2025-01-28,21193.42,0.242,3,22612.04,0,post_policy
2025-02-01,12000,0.52,1,19221.25,0,post_policy
2025-02-02,28163.08,0.4,3,24414.66,0,post_policy
2025-02-03,42652.18,0.307,3,19885.35,1,post_policy
2025-02-04,48945.07,0.623,3,19563.83,0,post_policy
2025-02-05,40145.36,0.813,1,17515.8,0,post_policy
2025-02-06,53406.72,0.685,5,17103.82,1,post_policy
2025-02-07,22007.44,0.449,3,16693.48,0,post_policy
2025-02-08,33169.84,0.599,3,21109.98,0,post_policy
2025-02-09,52163.17,0.841,4,20570.06,0,post_policy
2025-02-10,44806.57,0.296,0,25908.77,0,post_policy
2025-02-11,47463.79,0.613,2,21104.93,1,post_policy
2025-02-12,27060.23,0.466,4,16693.45,0,post_policy
2025-02-13,42378.15,0.632,5,9339.69,0,post_policy
2025-02-14,34840.88,0.61,2,29778.43,0,post_policy
2025-02-15,65080.15,0.414,2,20680.48,0,post_policy
2025-02-16,82571.98,0.368,4,21141.12,1,post_policy
2025-02-17,39905.7,0.381,1,17213.83,0,post_policy
2025-02-18,15321.87,0.527,1,11096.16,0,post_policy
2025-02-19,47954.85,0.622,3,24145.23,0,post_policy
2025-02-20,36825.67,0.779,3,17163.43,0,post_policy
2025-02-21,49041.23,0.514,5,19497.18,1,post_policy
2025-02-22,55152.15,0.481,5,15565.25,0,post_policy
2025-02-23,58440.65,0.798,4,20733.42,0,post_policy
2025-02-24,45336.73,0.473,2,23208.37,0,post_policy
2025-02-25,63317.06,0.778,4,8008.11,0,post_policy
2025-02-26,27140.17,0.531,5,15038.93,1,post_policy
2025-02-27,22903.53,0.242,0,11008.4,0,post_policy
2025-02-28,27334.49,0.561,2,23634.2,1,post_policy
2025-03-01,56468.55,0.66,3,8200.56,0,post_policy
2025-03-02,28573.79,0.565,1,17442.31,0,post_policy
2025-03-03,61815.0,0.67,0,26488.97,0,post_policy
2025-03-04,50802.85,0.656,5,17950.04,0,post_policy
2025-03-05,20182.42,0.353,0,29610.85,0,post_policy
2025-03-06,44633.03,0.65,1,18037.65,0,post_policy
2025-03-07,23155.54,0.482,4,23464.79,0,post_policy
2025-03-08,40900.01,0.524,0,15227.55,0,post_policy
2025-03-09,50353.51,0.669,4,22907.94,1,post_policy
2025-03-10,63035.86,0.408,2,14290.49,0,post_policy
2025-03-11,36973.85,0.435,3,26653.3,1,post_policy
2025-03-12,36298.21,0.329,0,16576.58,1,post_policy
2025-03-13,27723.15,0.534,1,11935.78,0,post_policy
2025-03-14,36918.28,0.503,4,26456.86,1,post_policy
2025-03-15,48857.5,0.306,2,22127.29,0,post_policy
2025-03-16,51027.53,0.724,2,12225.49,1,post_policy
2025-03-17,56266.28,0.558,4,14581.21,0,post_policy
2025-03-18,28605.0,0.492,2,14339.44,0,post_policy
2025-03-19,35795.58,0.725,3,20473.78,0,post_policy
2025-03-20,45579.86,0.565,5,29228.83,1,post_policy
2025-03-21,48986.64,0.553,3,13722.98,0,post_policy
2025-03-22,34801.65,0.732,3,16117.75,0,post_policy
2025-03-23,61047.99,0.432,1,20466.02,0,post_policy
2025-03-24,42235.3,0.317,3,20071.28,0,post_policy
2025-03-25,61824.26,0.645,2,16790.04,0,post_policy
2025-03-26,26512.69,0.291,5,22483.59,0,post_policy
2025-03-27,54589.05,0.571,4,17087.93,0,post_policy
2025-03-28,20729.17,0.622,1,17440.94,1,post_policy
2025-04-01,56347.65,0.667,1,10782.02,0,post_policy
2025-04-02,57294.55,0.81,5,12258.86,1,post_policy
2025-04-03,40090.19,0.57,2,4892.73,0,post_policy
2025-04-04,39163.15,0.427,3,9869.24,0,post_policy
2025-04-05,63784.32,0.367,1,30873.58,0,post_policy
2025-04-06,47266.78,0.531,2,20107.64,0,post_policy
2025-04-07,51252.3,0.675,4,13102.3,1,post_policy
2025-04-08,47959.97,0.491,1,20629.88,0,post_policy
2025-04-09,44386.59,0.749,4,27012.2,1,post_policy
2025-04-10,36534.27,0.429,4,12973.91,0,post_policy
2025-04-11,31991.89,0.648,4,15357.89,0,post_policy
2025-04-12,43073.55,0.495,2,10957.65,0,post_policy
2025-04-13,64627.98,0.564,0,19638.2,1,post_policy
2025-04-14,48276.16,0.661,1,18868.59,1,post_policy
2025-04-15,55888.86,0.42,4,20706.23,0,post_policy
2025-04-16,62793.2,0.438,2,15987.57,0,post_policy
2025-04-17,42046.11,0.492,2,27902.01,0,post_policy
2025-04-18,59574.39,0.439,5,20193.83,0,post_policy
2025-04-19,50877.37,0.456,3,17941.82,0,post_policy
2025-04-20,41859.27,0.359,2,23695.07,0,post_policy
2025-04-21,32947.83,0.509,0,13863.59,0,post_policy
2025-04-22,37911.53,0.508,3,22471.9,0,post_policy
2025-04-23,46282.74,0.308,2,25121.09,0,post_policy
2025-04-24,42271.51,0.806,2,31107.2,1,post_policy
2025-04-25,68163.04,0.555,5,28542.55,0,post_policy
2025-04-26,46304.47,0.645,0,23195.83,0,post_policy
2025-04-27,43257.97,0.715,4,24490.22,0,post_policy
2025-04-28,39978.25,0.596,5,10877.69,0,post_policy
2025-05-01,40146.78,0.646,3,23041.24,1,post_policy
2025-05-02,61449.75,0.266,4,12126.51,0,post_policy
2025-05-03,41179.57,0.713,2,29384.28,0,post_policy
2025-05-04,50537.52,0.349,4,20741.26,1,post_policy
2025-05-05,35244.51,0.601,0,28875.27,0,post_policy
2025-05-06,61717.33,0.571,4,21109.99,0,post_policy
2025-05-07,49123.55,0.423,2,30043.57,1,post_policy
2025-05-08,39917.56,0.603,3,14222.52,0,post_policy
2025-05-09,64079.26,0.724,1,25288.95,0,post_policy
2025-05-10,65691.8,0.496,4,33181.07,0,post_policy
2025-05-11,55318.08,0.762,4,18585.02,0,post_policy
2025-05-12,38009.36,0.67,5,32622.77,0,post_policy
2025-05-13,24956.43,0.57,0,28634.25,0,post_policy
2025-05-14,52835.86,0.467,3,10888.48,0,post_policy
2025-05-15,60168.6,0.594,3,15244.17,0,post_policy
2025-05-16,57482.95,0.499,5,23589.75,1,post_policy
2025-05-17,42884.77,0.581,0,29369.33,0,post_policy
2025-05-18,35288.51,0.404,5,20485.69,1,post_policy
2025-05-19,57456.82,0.749,3,24301.36,0,post_policy
2025-05-20,37455.62,0.699,3,13404.08,0,post_policy
2025-05-21,29477.41,0.766,4,12131.81,0,post_policy
2025-05-22,36957.36,0.503,3,21271.27,0,post_policy
2025-05-23,19850.25,0.436,4,19131.0,1,post_policy
2025-05-24,36612.32,0.526,5,10606.8,1,post_policy
2025-05-25,34692.04,0.388,1,29742.93,0,post_policy
2025-05-26,54186.86,0.99,4,12646.3,1,post_policy
2025-05-27,28138.76,0.26,4,18882.84,0,post_policy
2025-05-28,44548.74,0.611,2,14594.79,0,post_policy
2025-06-01,31853.07,0.781,3,19294.47,1,post_policy
2025-06-02,56248.03,0.615,3,26052.03,0,post_policy
2025-06-03,57339.79,0.264,3,21915.78,0,post_policy
2025-06-04,54813.25,0.724,1,15157.04,0,post_policy
2025-06-05,26329.35,0.343,2,28043.34,1,post_policy
2025-06-06,36328.84,0.682,3,29158.37,1,post_policy
2025-06-07,58769.45,0.529,3,14131.12,0,post_policy
2025-06-08,31287.55,0.75,0,16599.08,0,post_policy
2025-06-09,44193.29,0.744,5,28196.7,1,post_policy
2025-06-10,61662.19,0.559,0,29512.18,0,post_policy
2025-06-11,60386.05,0.611,1,38219.28,0,post_policy
2025-06-12,53664.89,0.99,4,17053.72,0,post_policy
2025-06-13,59127.6,0.325,3,15925.89,0,post_policy
