event_time,amount,transactions_1h,billing_country_matches,card_age_days,hour_utc,is_fraud
2024-01-03T16:00:00,49.69,9,1,1247,16,0
2024-01-03T17:00:00,417.79,5,1,2493,17,0
2024-01-03T18:00:00,890.73,5,1,743,18,0
2024-01-03T19:00:00,212.2,12,1,2454,19,0
2024-01-03T20:00:00,984.53,3,1,1569,20,0
2024-01-03T21:00:00,42.7,10,1,1832,21,0
2024-01-03T22:00:00,9.28,1,1,1980,22,0
2024-01-03T23:00:00,637.11,6,1,1983,23,0
2024-01-04T00:00:00,499.63,7,1,1718,0,0
2024-01-04T01:00:00,268.54,11,1,129,1,0
2024-01-04T02:00:00,970.12,2,0,1235,2,0
2024-01-04T03:00:00,466.12,12,1,1998,3,0
2024-01-04T04:00:00,957.97,4,0,96,4,0
2024-01-04T05:00:00,20.0,6,1,1785,5,0
2024-01-04T06:00:00,611.66,12,1,1250,6,0
2024-01-04T07:00:00,53.39,4,1,640,7,0
2024-01-04T08:00:00,32.95,3,1,2128,8,0
2024-01-04T09:00:00,39.33,12,1,1789,9,0
2024-01-04T10:00:00,56.22,6,1,181,10,0
2024-01-04T11:00:00,241.65,5,1,1304,11,0
2024-01-04T12:00:00,126.88,8,1,1254,12,0
2024-01-04T13:00:00,72.2,12,1,520,13,0
2024-01-04T14:00:00,44.07,3,1,1785,14,0
2024-01-04T15:00:00,14.42,3,1,1239,15,0
2024-01-04T16:00:00,475.51,8,1,2281,16,0
2024-01-04T17:00:00,345.14,4,1,708,17,0
2024-01-04T18:00:00,673.84,1,0,2253,18,0
2024-01-04T19:00:00,17.63,4,1,16,19,0
2024-01-04T20:00:00,96.1,10,1,923,20,0
2024-01-04T21:00:00,384.61,2,0,1563,21,0
2024-01-04T22:00:00,55.16,7,1,1869,22,0
2024-01-04T23:00:00,1062.06,9,1,1419,23,0
2024-01-05T00:00:00,840.81,7,1,2211,0,0
2024-01-05T01:00:00,105.94,12,1,524,1,0
2024-01-05T02:00:00,234.71,1,1,1914,2,0
2024-01-05T03:00:00,512.57,4,1,193,3,0
2024-01-05T04:00:00,20.75,9,1,1836,4,0
2024-01-05T05:00:00,10.38,7,1,1692,5,0
2024-01-05T06:00:00,28.25,8,1,296,6,0
2024-01-05T07:00:00,18.12,9,1,538,7,0
2024-01-05T08:00:00,53.1,6,1,2203,8,0
2024-01-05T09:00:00,52.19,1,1,624,9,0
2024-01-05T10:00:00,144.68,8,1,652,10,0
2024-01-05T11:00:00,147.73,7,0,857,11,0
2024-01-05T12:00:00,150.58,9,1,436,12,0
2024-01-05T13:00:00,29.3,3,1,1777,13,0
2024-01-05T14:00:00,720.09,8,1,7,14,0
2024-01-05T15:00:00,34.1,11,1,1579,15,0
2024-01-05T16:00:00,699.53,12,1,367,16,0
2024-01-05T17:00:00,301.05,10,0,1279,17,0
2024-01-05T18:00:00,19.14,2,1,385,18,0
2024-01-05T19:00:00,284.49,4,1,1110,19,0
2024-01-05T20:00:00,58.59,9,1,1257,20,0
2024-01-05T21:00:00,16.53,11,1,2430,21,0
2024-01-05T22:00:00,13.44,6,1,435,22,0
2024-01-05T23:00:00,45.55,9,1,154,23,0
2024-01-06T00:00:00,16.47,8,1,113,0,0
2024-01-06T01:00:00,13.26,6,1,1414,1,0
2024-01-06T02:00:00,22.26,3,1,1032,2,0
2024-01-06T03:00:00,171.0,2,1,1115,3,0
2024-01-06T04:00:00,281.29,4,1,93,4,0
2024-01-06T05:00:00,16.53,4,1,2436,5,0
2024-01-06T06:00:00,18.12,4,1,1472,6,0
2024-01-06T07:00:00,69.81,9,1,920,7,0
2024-01-06T08:00:00,380.72,1,1,277,8,0
2024-01-06T09:00:00,244.18,6,1,1788,9,0
2024-01-06T10:00:00,252.68,3,1,2479,10,0
2024-01-06T11:00:00,763.21,10,1,1903,11,0
2024-01-06T12:00:00,195.57,5,1,753,12,0
2024-01-06T13:00:00,20.11,9,1,2401,13,0
2024-01-06T14:00:00,56.49,7,1,1144,14,0
2024-01-06T15:00:00,50.96,1,0,223,15,0
2024-01-06T16:00:00,25.35,12,0,2103,16,0
2024-01-06T17:00:00,13.45,8,1,1796,17,0
2024-01-06T18:00:00,13.82,3,1,195,18,0
2024-01-06T19:00:00,68.07,9,1,1565,19,0
2024-01-06T20:00:00,72.49,2,0,1146,20,0
2024-01-06T21:00:00,9.22,10,1,2227,21,0
2024-01-06T22:00:00,363.96,2,0,229,22,0
2024-01-06T23:00:00,17.01,9,1,924,23,0
2024-01-07T00:00:00,43.65,3,1,1423,0,0
2024-01-07T01:00:00,412.96,9,1,52,1,0
2024-01-07T02:00:00,618.24,2,1,1363,2,0
2024-01-07T03:00:00,20.66,7,1,1835,3,0
2024-01-07T04:00:00,116.3,4,1,1729,4,0
2024-01-07T05:00:00,86.06,9,1,21,5,0
2024-01-07T06:00:00,120.45,11,1,384,6,0
2024-01-07T07:00:00,430.07,10,1,2112,7,0
2024-01-07T08:00:00,137.97,6,1,632,8,0
2024-01-07T09:00:00,546.15,12,1,1585,9,0
2024-01-07T10:00:00,17.55,3,1,264,10,0
2024-01-07T11:00:00,30.7,7,1,813,11,0
2024-01-07T12:00:00,609.51,8,1,340,12,0
2024-01-07T13:00:00,291.28,5,1,1076,13,0
2024-01-07T14:00:00,43.35,6,1,952,14,0
2024-01-07T15:00:00,44.17,6,1,2435,15,0
2024-01-07T16:00:00,141.89,7,1,2201,16,0
2024-01-07T17:00:00,14.03,4,1,845,17,0
2024-01-07T18:00:00,638.29,4,1,1663,18,0
2024-01-07T19:00:00,10.33,10,1,873,19,0
2024-01-07T20:00:00,38.07,8,1,904,20,0
2024-01-07T21:00:00,112.99,5,1,1299,21,0
2024-01-07T22:00:00,102.27,12,1,596,22,0
2024-01-07T23:00:00,15.74,7,1,407,23,0
2024-01-08T00:00:00,916.47,6,1,397,0,0
2024-01-08T01:00:00,42.8,11,1,865,1,0
2024-01-08T02:00:00,42.37,8,1,1871,2,0
2024-01-08T03:00:00,183.49,1,1,1547,3,0
2024-01-08T04:00:00,18.52,4,1,1905,4,0
2024-01-08T05:00:00,74.81,11,1,1511,5,0
2024-01-08T06:00:00,296.0,8,1,2384,6,0
2024-01-08T07:00:00,357.02,6,1,1199,7,0
2024-01-08T08:00:00,209.51,9,1,277,8,0
2024-01-08T09:00:00,277.6,8,1,65,9,0
2024-01-08T10:00:00,465.04,3,1,128,10,0
2024-01-08T11:00:00,15.15,2,1,120,11,0
2024-01-08T12:00:00,32.68,12,1,244,12,0
2024-01-08T13:00:00,170.73,4,1,439,13,0
2024-01-08T14:00:00,99.97,2,1,166,14,0
2024-01-08T15:00:00,181.37,8,1,2414,15,0
2024-01-08T16:00:00,71.5,3,1,1655,16,0
2024-01-08T17:00:00,82.24,1,1,1703,17,0
2024-01-08T18:00:00,170.15,2,0,1639,18,0
2024-01-08T19:00:00,43.22,7,1,653,19,0
2024-01-08T20:00:00,244.76,9,1,376,20,0
2024-01-08T21:00:00,14.83,5,1,1449,21,0
2024-01-08T22:00:00,45.03,4,1,2294,22,0
2024-01-08T23:00:00,34.47,5,1,830,23,0
2024-01-09T00:00:00,21.09,10,1,294,0,0
2024-01-09T01:00:00,254.51,7,1,385,1,0
2024-01-09T02:00:00,1058.99,3,1,1009,2,0
2024-01-09T03:00:00,413.72,10,1,1702,3,0
2024-01-09T04:00:00,52.19,10,1,2135,4,0
2024-01-09T05:00:00,238.03,11,1,2097,5,0
2024-01-09T06:00:00,107.79,7,1,660,6,0
2024-01-09T07:00:00,17.81,6,1,1158,7,0
2024-01-09T08:00:00,67.12,5,1,931,8,0
2024-01-09T09:00:00,339.96,2,1,1915,9,0
2024-01-09T10:00:00,71.15,10,1,2374,10,0
2024-01-09T11:00:00,537.42,4,0,2048,11,0
2024-01-09T12:00:00,101.04,4,1,802,12,0
2024-01-09T13:00:00,510.42,4,1,1355,13,0
2024-01-09T14:00:00,23.33,4,1,1563,14,0
2024-01-09T15:00:00,9.98,7,1,1918,15,0
2024-01-09T16:00:00,17.1,12,1,409,16,0
2024-01-09T17:00:00,248.28,3,1,284,17,0
2024-01-09T18:00:00,443.01,4,1,1622,18,0
2024-01-09T19:00:00,835.17,11,1,1472,19,0
2024-01-09T20:00:00,9.76,2,1,279,20,0
2024-01-09T21:00:00,498.45,3,1,1600,21,0
2024-01-09T22:00:00,820.14,9,1,2109,22,0
2024-01-09T23:00:00,472.42,12,1,102,23,0
2024-01-10T00:00:00,26.66,10,1,293,0,0
2024-01-10T01:00:00,208.67,8,1,982,1,0
2024-01-10T02:00:00,194.01,3,1,477,2,0
2024-01-10T03:00:00,169.36,10,1,1302,3,0
2024-01-10T04:00:00,130.54,4,1,1321,4,0
2024-01-10T05:00:00,20.11,8,1,1450,5,0
2024-01-10T06:00:00,921.01,5,1,2353,6,0
2024-01-10T07:00:00,42.82,3,0,1217,7,0
2024-01-10T08:00:00,298.09,4,1,1891,8,0
2024-01-10T09:00:00,130.6,12,1,1578,9,0
2024-01-10T10:00:00,19.64,3,1,155,10,0
2024-01-10T11:00:00,40.48,11,1,2153,11,0
2024-01-10T12:00:00,249.62,6,1,393,12,0
2024-01-10T13:00:00,11.15,2,1,150,13,0
2024-01-10T14:00:00,19.76,8,1,1603,14,0
2024-01-10T15:00:00,835.1,3,1,2291,15,0
2024-01-10T16:00:00,39.19,5,1,862,16,0
2024-01-10T17:00:00,152.47,9,1,1054,17,0
2024-01-10T18:00:00,194.62,9,1,2261,18,0
2024-01-10T19:00:00,1076.06,12,1,1747,19,0
2024-01-10T20:00:00,610.38,12,1,1260,20,0
2024-01-10T21:00:00,857.9,11,1,1153,21,0
2024-01-10T22:00:00,24.4,9,1,585,22,0
2024-01-10T23:00:00,40.94,1,1,2360,23,0
2024-01-11T00:00:00,20.6,12,1,532,0,0
2024-01-11T01:00:00,231.85,1,1,1641,1,0
2024-01-11T02:00:00,32.08,9,1,882,2,0
2024-01-11T03:00:00,103.5,4,1,2420,3,0
2024-01-11T04:00:00,227.49,11,1,2117,4,0
2024-01-11T05:00:00,45.51,7,1,1417,5,0
2024-01-11T06:00:00,24.53,12,1,1068,6,0
2024-01-11T07:00:00,86.57,7,1,1352,7,0
2024-01-11T08:00:00,24.38,1,0,429,8,0
2024-01-11T09:00:00,121.34,2,0,12,9,0
2024-01-11T10:00:00,476.41,3,0,834,10,0
2024-01-11T11:00:00,47.07,3,1,2389,11,0
2024-01-11T12:00:00,164.65,2,1,3,12,0
2024-01-11T13:00:00,764.62,2,1,1944,13,0
2024-01-11T14:00:00,641.18,3,1,402,14,0
2024-01-11T15:00:00,516.63,11,1,1901,15,0
2024-01-11T16:00:00,820.14,2,1,1768,16,0
2024-01-11T17:00:00,10.91,9,0,1976,17,0
2024-01-11T18:00:00,23.25,8,1,1322,18,0
2024-01-11T19:00:00,104.38,12,1,1551,19,0
2024-01-11T20:00:00,162.81,2,1,1740,20,0
2024-01-11T21:00:00,587.28,6,1,2469,21,0
2024-01-11T22:00:00,52.0,3,1,872,22,0
2024-01-11T23:00:00,96.96,9,1,815,23,0
2024-01-12T00:00:00,388.79,6,1,575,0,0
2024-01-12T01:00:00,134.36,9,1,109,1,0
2024-01-12T02:00:00,46.29,11,0,662,2,0
2024-01-12T03:00:00,34.33,11,1,1880,3,0
2024-01-12T04:00:00,200.38,1,1,1236,4,0
2024-01-12T05:00:00,71.58,8,1,1584,5,0
2024-01-12T06:00:00,23.29,8,1,1513,6,0
2024-01-12T07:00:00,375.76,3,1,67,7,0
2024-01-12T08:00:00,127.42,3,1,1187,8,0
2024-01-12T09:00:00,13.0,2,0,1275,9,0
2024-01-12T10:00:00,23.88,2,1,735,10,0
2024-01-12T11:00:00,263.6,8,1,1296,11,0
2024-01-12T12:00:00,577.35,12,1,1941,12,0
2024-01-12T13:00:00,114.18,9,1,356,13,0
2024-01-12T14:00:00,79.72,1,1,533,14,0
2024-01-12T15:00:00,22.34,1,1,1702,15,0
2024-01-12T16:00:00,11.53,4,0,1253,16,0
2024-01-12T17:00:00,244.94,2,1,1230,17,0
2024-01-12T18:00:00,28.11,5,1,1337,18,0
2024-01-12T19:00:00,155.29,3,1,1368,19,0
2024-01-12T20:00:00,57.43,5,1,394,20,0
2024-01-12T21:00:00,74.28,7,1,228,21,0
2024-01-12T22:00:00,23.05,5,1,511,22,0
2024-01-12T23:00:00,572.15,3,1,2380,23,0
2024-01-13T00:00:00,9.3,7,1,555,0,0
2024-01-13T01:00:00,271.96,8,0,1674,1,0
2024-01-13T02:00:00,44.63,6,1,332,2,0
2024-01-13T03:00:00,22.26,9,1,839,3,0
2024-01-13T04:00:00,64.0,2,0,1154,4,0
2024-01-13T05:00:00,127.35,9,1,73,5,0
2024-01-13T06:00:00,24.71,5,1,1081,6,0
2024-01-13T07:00:00,207.31,12,0,1434,7,0
2024-01-13T08:00:00,1002.85,12,1,1453,8,0
2024-01-13T09:00:00,67.8,11,1,28,9,0
2024-01-13T10:00:00,402.81,5,1,1263,10,0
2024-01-13T11:00:00,15.44,9,1,2204,11,0
2024-01-13T12:00:00,829.58,4,1,1089,12,0
2024-01-13T13:00:00,9.18,8,1,1408,13,0
2024-01-13T14:00:00,48.78,7,1,1380,14,0
2024-01-13T15:00:00,22.55,8,1,661,15,0
2024-01-13T16:00:00,44.83,7,1,1859,16,0
2024-01-13T17:00:00,997.53,2,1,2191,17,0
2024-01-13T18:00:00,672.94,11,1,2461,18,0
2024-01-13T19:00:00,25.23,10,1,875,19,0
2024-01-13T20:00:00,89.27,9,1,1156,20,0
2024-01-13T21:00:00,620.47,12,1,1087,21,0
2024-01-13T22:00:00,9.33,9,1,1838,22,0
2024-01-13T23:00:00,998.22,9,1,45,23,0
2024-01-14T00:00:00,692.57,9,1,2224,0,0
2024-01-14T01:00:00,166.09,12,1,456,1,0
2024-01-14T02:00:00,11.38,12,1,591,2,0
2024-01-14T03:00:00,26.24,3,1,666,3,0
2024-01-14T04:00:00,39.24,11,1,1537,4,0
2024-01-14T05:00:00,680.77,9,1,1057,5,0
2024-01-14T06:00:00,152.62,1,1,1848,6,0
2024-01-14T07:00:00,520.15,5,1,68,7,0
2024-01-14T08:00:00,97.59,7,0,1594,8,0
2024-01-14T09:00:00,70.94,1,1,966,9,0
2024-01-14T10:00:00,74.91,6,1,1363,10,0
2024-01-14T11:00:00,457.68,6,1,381,11,0
2024-01-14T12:00:00,75.97,10,1,106,12,0
2024-01-14T13:00:00,212.56,1,1,2239,13,0
2024-01-14T14:00:00,67.87,1,1,299,14,0
2024-01-14T15:00:00,9.04,11,0,1507,15,0
2024-01-14T16:00:00,706.96,6,1,483,16,0
2024-01-14T17:00:00,29.94,5,0,1542,17,0
2024-01-14T18:00:00,424.64,7,1,161,18,0
2024-01-14T19:00:00,13.79,9,1,1212,19,0
2024-01-14T20:00:00,310.84,8,1,1697,20,0
2024-01-14T21:00:00,927.99,10,1,1306,21,0
2024-01-14T22:00:00,13.64,6,1,1797,22,0
2024-01-14T23:00:00,96.3,5,0,2079,23,0
2024-01-15T00:00:00,18.93,10,1,532,0,0
2024-01-15T01:00:00,38.81,8,1,951,1,0
2024-01-15T02:00:00,11.45,3,1,2165,2,0
2024-01-15T03:00:00,142.15,1,1,2051,3,0
2024-01-15T04:00:00,298.34,6,1,1756,4,0
2024-01-15T05:00:00,377.85,3,1,711,5,0
2024-01-15T06:00:00,26.4,5,1,36,6,0
2024-01-15T07:00:00,28.94,6,1,95,7,0
2024-01-15T08:00:00,175.14,10,1,785,8,0
2024-01-15T09:00:00,10.11,5,1,1686,9,0
2024-01-15T10:00:00,269.19,11,1,218,10,0
2024-01-15T11:00:00,713.26,6,1,2143,11,0
2024-01-15T12:00:00,103.87,1,1,2040,12,0
2024-01-15T13:00:00,25.49,3,1,1988,13,0
2024-01-15T14:00:00,319.1,9,1,2394,14,0
2024-01-15T15:00:00,36.92,8,1,648,15,0
2024-01-15T16:00:00,189.43,2,1,2095,16,0
2024-01-15T17:00:00,689.19,4,1,328,17,0
2024-01-15T18:00:00,331.12,3,1,1583,18,0
2024-01-15T19:00:00,313.11,7,0,1605,19,0
2024-01-15T20:00:00,191.96,7,1,1533,20,0
2024-01-15T21:00:00,951.81,6,1,2278,21,0
2024-01-15T22:00:00,14.08,10,1,1562,22,0
2024-01-15T23:00:00,175.25,12,1,1016,23,0
2024-01-16T00:00:00,12.58,12,1,2411,0,0
2024-01-16T01:00:00,141.43,10,1,2130,1,0
2024-01-16T02:00:00,159.43,1,0,1285,2,0
2024-01-16T03:00:00,29.16,1,1,1276,3,0
2024-01-16T04:00:00,398.69,5,1,2309,4,0
2024-01-16T05:00:00,59.43,9,1,2004,5,0
2024-01-16T06:00:00,317.31,1,1,1371,6,0
2024-01-16T07:00:00,588.72,5,1,1119,7,0
2024-01-16T08:00:00,67.58,2,1,272,8,0
2024-01-16T09:00:00,121.72,4,0,2041,9,0
2024-01-16T10:00:00,346.55,5,1,781,10,0
2024-01-16T11:00:00,53.16,10,1,1967,11,0
2024-01-16T12:00:00,739.28,7,1,1519,12,0
2024-01-16T13:00:00,125.46,1,1,2254,13,0
2024-01-16T14:00:00,366.8,5,1,1306,14,0
2024-01-16T15:00:00,37.2,2,0,741,15,0
2024-01-16T16:00:00,11.92,11,1,657,16,0
2024-01-16T17:00:00,382.35,9,1,451,17,0
2024-01-16T18:00:00,21.01,7,1,1384,18,0
2024-01-16T19:00:00,15.05,3,1,1894,19,0
2024-01-16T20:00:00,526.18,6,1,1648,20,0
2024-01-16T21:00:00,110.13,1,0,553,21,0
2024-01-16T22:00:00,197.44,4,1,2485,22,0
2024-01-16T23:00:00,290.56,10,0,2420,23,0
2024-01-17T00:00:00,575.77,3,1,1642,0,0
2024-01-17T01:00:00,31.33,9,1,424,1,0
2024-01-17T02:00:00,118.91,11,1,1320,2,0
2024-01-17T03:00:00,42.74,12,0,1694,3,0
2024-01-17T04:00:00,335.89,1,1,1406,4,0
2024-01-17T05:00:00,33.3,11,1,1807,5,0
2024-01-17T06:00:00,1008.74,8,1,1667,6,0
2024-01-17T07:00:00,233.63,3,0,1129,7,0
2024-01-17T08:00:00,311.07,8,1,406,8,0
2024-01-17T09:00:00,323.5,3,1,321,9,0
2024-01-17T10:00:00,29.28,5,1,1093,10,0
2024-01-17T11:00:00,44.66,3,1,884,11,0
2024-01-17T12:00:00,26.83,3,1,317,12,0
2024-01-17T13:00:00,68.83,9,1,1749,13,0
2024-01-17T14:00:00,722.65,2,1,500,14,0
2024-01-17T15:00:00,18.18,7,1,1236,15,0
2024-01-17T16:00:00,269.48,5,1,1183,16,0
2024-01-17T17:00:00,64.08,4,0,1423,17,0
2024-01-17T18:00:00,168.98,11,1,1466,18,0
2024-01-17T19:00:00,22.99,1,1,2479,19,0
2024-01-17T20:00:00,97.41,6,1,2416,20,0
2024-01-17T21:00:00,42.81,11,1,1548,21,0
2024-01-17T22:00:00,58.81,9,1,1649,22,0
2024-01-17T23:00:00,757.62,3,1,133,23,0
2024-01-18T00:00:00,31.43,5,1,669,0,0
2024-01-18T01:00:00,603.05,9,1,1259,1,0
2024-01-18T02:00:00,432.1,9,1,863,2,0
2024-01-18T03:00:00,509.11,11,1,1434,3,0
2024-01-18T04:00:00,17.18,2,1,2441,4,0
2024-01-18T05:00:00,326.24,7,1,1972,5,0
2024-01-18T06:00:00,374.67,9,1,1333,6,0
2024-01-18T07:00:00,391.35,12,1,1043,7,0
2024-01-18T08:00:00,24.88,1,1,802,8,0
2024-01-18T09:00:00,326.86,4,1,1126,9,0
2024-01-18T10:00:00,908.36,7,1,1938,10,0
2024-01-18T11:00:00,435.36,9,1,2075,11,0
2024-01-18T12:00:00,11.34,9,1,2,12,0
2024-01-18T13:00:00,59.06,3,1,2477,13,0
2024-01-18T14:00:00,125.57,12,1,1536,14,0
2024-01-18T15:00:00,224.3,10,1,1691,15,0
2024-01-18T16:00:00,10.48,7,1,573,16,0
2024-01-18T17:00:00,9.68,4,1,1991,17,0
2024-01-18T18:00:00,104.85,9,1,485,18,0
2024-01-18T19:00:00,98.23,9,1,1557,19,0
2024-01-18T20:00:00,10.55,11,0,2165,20,0
2024-01-18T21:00:00,269.67,11,1,267,21,0
2024-01-18T22:00:00,507.97,3,1,2434,22,0
2024-01-18T23:00:00,123.37,12,1,1757,23,0
2024-01-19T00:00:00,102.6,12,1,1482,0,0
2024-01-19T01:00:00,109.29,1,1,34,1,0
2024-01-19T02:00:00,19.76,2,1,965,2,0
2024-01-19T03:00:00,9.62,12,1,930,3,0
2024-01-19T04:00:00,10.28,8,1,1092,4,0
2024-01-19T05:00:00,296.08,3,0,2017,5,0
2024-01-19T06:00:00,101.78,5,1,1652,6,0
2024-01-19T07:00:00,9.7,1,1,506,7,0
2024-01-19T08:00:00,345.56,1,0,2280,8,0
2024-01-19T09:00:00,955.53,2,1,571,9,0
2024-01-19T10:00:00,119.43,11,1,2023,10,0
2024-01-19T11:00:00,11.75,1,1,57,11,0
2024-01-19T12:00:00,16.49,10,1,1655,12,0
2024-01-19T13:00:00,1094.87,7,1,1462,13,0
2024-01-19T14:00:00,10.42,6,1,521,14,0
2024-01-19T15:00:00,120.94,5,1,1050,15,0
2024-01-19T16:00:00,672.2,1,1,1690,16,0
2024-01-19T17:00:00,104.63,9,1,360,17,0
2024-01-19T18:00:00,212.65,9,1,1830,18,0
2024-01-19T19:00:00,63.19,10,1,250,19,0
2024-01-19T20:00:00,78.0,5,1,1327,20,0
2024-01-19T21:00:00,21.76,5,1,1641,21,0
2024-01-19T22:00:00,11.04,1,1,406,22,0
2024-01-19T23:00:00,346.7,5,1,1297,23,0
2024-01-20T00:00:00,357.01,12,1,416,0,0
2024-01-20T01:00:00,337.59,8,1,1789,1,0
2024-01-20T02:00:00,285.59,7,1,708,2,0
2024-01-20T03:00:00,69.55,4,1,608,3,0
2024-01-20T04:00:00,870.03,12,1,248,4,0
2024-01-20T05:00:00,685.52,10,1,1903,5,0
2024-01-20T06:00:00,72.74,7,1,985,6,0
2024-01-20T07:00:00,13.09,3,1,1088,7,0
2024-01-20T08:00:00,83.79,4,0,871,8,0
2024-01-20T09:00:00,79.2,8,1,1869,9,0
2024-01-20T10:00:00,100.78,4,1,1051,10,0
2024-01-20T11:00:00,998.79,11,1,1719,11,0
2024-01-20T12:00:00,64.79,5,1,896,12,0
2024-01-20T13:00:00,12.79,4,1,168,13,0
2024-01-20T14:00:00,11.58,1,1,662,14,0
2024-01-20T15:00:00,276.54,7,1,118,15,0
2024-01-20T16:00:00,35.54,4,1,1786,16,0
2024-01-20T17:00:00,286.55,1,1,913,17,0
2024-01-20T18:00:00,305.75,9,1,2056,18,0
2024-01-20T19:00:00,524.4,6,1,598,19,0
2024-01-20T20:00:00,294.06,5,1,2368,20,0
2024-01-20T21:00:00,699.08,6,1,550,21,0
2024-01-20T22:00:00,153.78,5,1,79,22,0
2024-01-20T23:00:00,15.29,10,1,1607,23,0
2024-01-21T00:00:00,781.23,5,1,1156,0,0
2024-01-21T01:00:00,30.08,8,1,474,1,0
2024-01-21T02:00:00,103.91,9,1,1753,2,0
2024-01-21T03:00:00,651.14,12,1,2314,3,0
2024-01-21T04:00:00,700.92,12,0,1018,4,0
2024-01-21T05:00:00,78.18,1,1,577,5,0
2024-01-21T06:00:00,31.2,6,1,412,6,0
2024-01-21T07:00:00,272.58,8,0,1195,7,0
2024-01-21T08:00:00,50.84,6,1,268,8,0
2024-01-21T09:00:00,13.9,8,1,2334,9,0
2024-01-21T10:00:00,428.26,3,1,77,10,0
2024-01-21T11:00:00,924.65,9,1,2461,11,0
2024-01-21T12:00:00,13.29,7,1,275,12,0
2024-01-21T13:00:00,113.27,10,1,680,13,0
2024-01-21T14:00:00,99.57,12,1,415,14,0
2024-01-21T15:00:00,36.72,7,1,71,15,0
2024-01-21T16:00:00,57.4,12,1,1530,16,0
2024-01-21T17:00:00,10.43,5,1,1888,17,0
2024-01-21T18:00:00,20.08,4,1,820,18,0
2024-01-21T19:00:00,28.09,10,1,1519,19,0
2024-01-21T20:00:00,675.5,8,1,1769,20,0
2024-01-21T21:00:00,17.35,7,1,1138,21,0
2024-01-21T22:00:00,35.0,8,1,1714,22,0
