listing_date,sqft,bedrooms,age_years,distance_km,school_score,renovated,sale_price
2024-02-19,2960,4,24,27.77,9.6,0,841461.84
2024-02-19,1726,3,31,11.62,4.7,1,532833.63
2024-02-19,2677,3,83,1.02,9.3,0,789634.64
2024-02-20,849,2,50,20.45,4.6,0,271230.77
2024-02-20,1023,1,85,20.67,6.6,1,315185.5
2024-02-20,1966,3,84,27.65,8.5,0,554953.09
2024-02-21,725,1,53,7.18,5.3,0,228445.51
2024-02-21,1365,2,60,26.75,7.9,0,381946.66
2024-02-21,734,1,60,8.78,4.3,1,294208.37
2024-02-22,1556,2,7,8.54,6.0,0,536434.54
2024-02-22,1819,3,56,20.97,4.9,1,475986.31
2024-02-22,1178,2,0,8.15,9.1,0,510564.32
2024-02-23,2303,3,23,22.14,5.1,0,611966.02
2024-02-23,780,1,41,12.96,4.7,1,296324.54
2024-02-23,2032,3,55,15.82,3.6,0,489342.87
2024-02-24,1703,2,59,21.77,7.8,0,453466.91
2024-02-24,1092,1,9,16.72,8.6,0,389050.64
2024-02-24,563,1,65,13.03,7.3,0,237361.02
2024-02-25,1016,2,24,26.84,7.0,0,371752.13
2024-02-25,795,1,48,9.98,9.4,0,299571.63
2024-02-25,1884,3,55,22.63,3.8,0,488433.74
2024-02-26,3001,5,70,4.36,7.5,1,840899.95
2024-02-26,1346,3,71,8.26,7.1,0,429895.13
2024-02-26,1465,3,18,26.97,4.8,0,448300.33
2024-02-27,1801,3,54,27.84,7.2,1,555755.9
2024-02-27,2130,4,53,21.65,5.2,0,590582.12
2024-02-27,1325,1,29,13.14,6.3,0,418381.94
2024-02-28,2854,4,72,1.6,7.6,0,809262.59
2024-02-28,970,2,35,17.43,4.9,0,322244.19
2024-02-28,584,1,55,21.49,8.1,0,218459.03
2024-03-01,2795,4,28,2.47,8.5,1,834367.64
2024-03-01,1778,2,32,23.5,5.9,1,529838.0
2024-03-01,1782,2,9,21.38,5.7,0,501126.67
2024-03-02,2005,3,5,7.36,5.5,0,660719.5
2024-03-02,2170,3,48,26.7,5.1,1,580630.9
2024-03-02,772,1,74,12.66,9.4,0,305054.78
2024-03-03,1474,3,80,23.59,6.6,0,401961.57
2024-03-03,731,1,24,13.05,5.0,0,260641.23
2024-03-03,1911,3,54,6.93,6.8,1,601786.83
2024-03-04,1134,1,55,10.38,6.8,0,350351.99
2024-03-04,2339,3,55,26.75,8.8,0,674195.59
2024-03-04,1754,3,72,24.54,4.8,0,451635.7
2024-03-05,2635,4,51,0.27,3.9,1,736664.68
2024-03-05,2405,4,31,4.71,7.4,0,728827.25
2024-03-05,1369,2,16,8.4,5.8,0,443924.33
2024-03-06,1219,2,27,26.48,4.1,0,349257.57
2024-03-06,2668,5,29,16.27,8.4,0,780170.34
2024-03-06,2851,4,67,15.08,9.5,1,843311.69
2024-03-07,3077,4,36,20.14,8.3,0,854936.74
2024-03-07,1149,2,37,23.71,5.3,0,376375.18
2024-03-07,2124,3,62,2.86,6.6,0,628221.99
2024-03-08,865,1,13,26.25,8.4,0,316562.48
2024-03-08,920,1,52,3.39,6.7,0,351772.8
2024-03-08,2508,3,11,10.48,5.0,0,727034.07
2024-03-09,1987,4,70,18.59,8.8,0,597766.01
2024-03-09,2170,3,8,6.96,7.3,0,692238.72
2024-03-09,2007,3,67,23.22,9.5,0,599590.57
2024-03-10,1315,3,27,21.01,4.7,0,393462.94
2024-03-10,558,1,62,17.31,8.4,0,256617.67
2024-03-10,2269,3,17,0.43,7.4,1,760098.71
2024-03-11,2849,5,63,7.54,8.5,0,847646.08
2024-03-11,759,1,35,3.19,7.0,1,366313.69
2024-03-11,1152,1,59,0.67,6.7,0,374639.01
2024-03-12,2641,4,43,17.25,4.0,0,673496.49
2024-03-12,1782,3,17,20.9,6.1,0,534086.47
2024-03-12,1378,2,10,8.0,8.7,0,518874.5
2024-03-13,2206,4,8,7.49,8.5,0,720512.15
2024-03-13,2140,3,58,11.05,7.9,0,633479.43
2024-03-13,2597,5,26,26.5,8.5,0,718351.59
2024-03-14,1231,2,66,8.5,5.5,0,367875.65
2024-03-14,743,1,28,7.34,9.3,0,350100.91
2024-03-14,2377,4,70,12.51,4.4,1,634448.17
2024-03-15,3068,5,72,4.53,9.6,0,898883.77
2024-03-15,1917,2,62,24.97,6.9,0,497577.32
2024-03-15,2196,4,52,11.39,9.2,1,714691.71
2024-03-16,1251,1,70,6.5,6.1,0,364490.06
2024-03-16,3022,5,1,13.53,4.1,0,885776.62
2024-03-16,1459,2,77,16.09,4.5,0,348098.06
2024-03-17,2896,4,16,20.25,6.1,0,820865.91
2024-03-17,3104,5,21,6.04,4.5,0,856419.53
2024-03-17,858,2,5,27.44,7.0,1,356717.93
2024-03-18,841,2,29,22.13,8.0,0,350438.83
2024-03-18,772,2,38,4.41,4.5,0,286797.46
2024-03-18,1746,3,51,17.21,8.4,0,533964.15
2024-03-19,2057,3,58,26.48,9.1,0,621506.11
2024-03-19,1603,2,49,14.21,9.5,0,518449.07
2024-03-19,2066,3,16,25.52,5.8,1,601835.66
2024-03-20,2288,3,60,22.66,8.6,0,639267.82
2024-03-20,879,2,47,1.76,9.5,0,414779.33
2024-03-20,2979,5,48,0.42,3.5,0,788666.35
2024-03-21,3056,5,28,25.59,6.0,0,810331.5
2024-03-21,2429,3,49,9.43,7.2,0,690114.54
2024-03-21,2723,5,16,0.72,4.1,0,781847.63
2024-03-22,1269,1,38,6.02,7.4,0,398239.95
2024-03-22,2123,4,1,2.58,9.2,0,727963.1
2024-03-22,1190,1,26,4.41,7.9,1,442039.85
2024-03-23,1959,2,11,14.24,4.6,0,533728.85
2024-03-23,2985,4,33,12.64,6.5,0,853135.31
2024-03-23,2994,4,55,24.68,4.2,1,783972.44
2024-03-24,979,1,19,7.55,9.5,0,431451.34
2024-03-24,1096,2,77,9.79,5.3,0,342826.05
2024-03-24,867,1,37,15.33,4.3,0,272091.89
2024-03-25,1590,3,6,24.12,7.7,0,529733.72
2024-03-25,744,1,41,21.49,8.8,0,308367.97
2024-03-25,2404,4,46,9.54,9.1,0,730536.62
2024-03-26,1058,2,0,20.1,5.7,0,369219.77
2024-03-26,2090,4,69,14.34,8.7,0,628566.48
2024-03-26,2078,3,14,17.42,5.1,0,616068.73
2024-03-27,2224,4,8,20.64,4.7,0,623523.87
2024-03-27,803,2,30,21.7,7.8,0,321634.22
2024-03-27,3128,5,61,6.06,5.1,0,855225.62
2024-03-28,1395,2,47,0.28,9.5,1,556509.2
2024-03-28,2464,3,64,19.45,9.0,0,671302.74
2024-03-28,1567,2,52,25.87,8.4,0,438284.25
2024-04-01,2151,4,16,22.35,6.0,0,624374.96
2024-04-01,1410,2,47,12.12,4.8,0,438351.29
2024-04-01,558,1,4,23.02,4.0,0,176966.83
2024-04-02,2746,4,83,22.32,7.7,0,672763.03
2024-04-02,604,2,73,12.23,5.4,0,207963.7
2024-04-02,1895,3,58,6.25,3.8,0,509223.72
2024-04-03,2975,4,15,19.05,8.6,0,870267.95
2024-04-03,2084,3,67,7.54,8.5,0,608153.77
2024-04-03,2501,4,29,6.29,7.0,0,740253.78
2024-04-04,1455,2,38,12.12,4.4,0,394900.06
2024-04-04,1357,2,39,20.88,4.3,0,378809.95
2024-04-04,1741,3,3,11.08,6.7,1,601658.29
2024-04-05,1517,3,55,21.46,5.0,0,411337.21
2024-04-05,905,2,5,21.36,3.7,1,352739.09
2024-04-05,563,1,52,24.24,9.3,0,241467.72
2024-04-06,2855,5,78,22.98,8.0,0,775491.91
2024-04-06,781,2,14,6.13,9.3,1,438196.57
2024-04-06,2556,4,79,5.4,9.3,0,727652.41
2024-04-07,1143,1,15,12.23,3.6,0,343417.24
2024-04-07,3179,4,64,25.95,3.9,0,761213.52
2024-04-07,996,2,48,10.34,4.2,0,298141.41
2024-04-08,1041,2,10,11.25,8.8,0,440146.37
2024-04-08,976,1,19,13.62,3.6,0,284964.83
2024-04-08,1997,3,0,27.56,9.3,0,639969.22
2024-04-09,1282,2,66,25.05,8.9,0,364674.55
2024-04-09,998,2,21,10.51,9.0,1,426481.97
2024-04-09,2037,3,14,8.89,4.9,0,603943.51
2024-04-10,2151,4,32,11.88,9.2,0,665533.62
2024-04-10,1737,3,1,5.53,3.7,0,550057.31
2024-04-10,2804,5,50,14.71,6.7,0,738844.32
2024-04-11,1935,2,18,14.99,5.0,0,539219.12
2024-04-11,2110,3,81,25.76,4.1,0,511098.93
2024-04-11,822,2,28,20.36,6.2,0,313258.97
2024-04-12,2563,4,15,14.56,5.7,1,759819.15
2024-04-12,1917,3,25,3.29,4.0,0,580801.53
2024-04-12,2372,4,74,15.13,4.6,0,608322.75
2024-04-13,3091,5,26,2.04,4.7,0,869690.18
2024-04-13,1501,3,49,7.85,7.6,0,520315.65
2024-04-13,2066,3,8,5.05,6.8,0,689524.14
2024-04-14,2706,4,54,17.51,4.1,0,674642.32
2024-04-14,1152,2,48,18.46,6.3,0,411218.75
2024-04-14,990,1,17,7.09,8.9,0,398984.76
2024-04-15,1208,1,43,26.67,8.0,0,338317.06
2024-04-15,1095,1,42,2.39,3.6,0,287827.45
2024-04-15,2137,4,47,14.21,4.1,0,558190.55
2024-04-16,3153,5,36,7.19,6.9,0,889945.07
2024-04-16,682,2,22,10.17,8.3,1,380526.12
2024-04-16,2682,4,85,4.49,4.2,0,650071.22
2024-04-17,826,1,42,8.95,5.3,0,303746.82
2024-04-17,2743,5,61,20.62,7.2,1,797932.07
2024-04-17,1467,3,2,3.19,8.3,0,556116.7
2024-04-18,593,1,24,16.14,5.1,0,238022.77
2024-04-18,1661,3,43,25.72,9.5,1,609492.19
2024-04-18,1499,3,47,24.05,4.9,1,449998.79
2024-04-19,1805,4,59,15.37,3.6,0,492897.02
2024-04-19,2650,5,59,5.94,9.2,0,808639.23
2024-04-19,2475,4,63,16.17,5.3,1,686847.27
2024-04-20,1302,2,2,1.91,4.2,0,405507.56
2024-04-20,1823,2,44,10.44,5.7,0,514726.32
2024-04-20,727,2,38,11.16,3.5,0,227186.22
2024-04-21,2754,5,27,18.58,9.4,0,878286.35
2024-04-21,2152,4,3,7.25,7.8,0,709986.94
2024-04-21,679,1,34,14.32,6.5,0,262733.23
2024-04-22,1905,3,44,24.02,4.8,0,513633.42
2024-04-22,668,2,73,27.72,8.8,0,235718.85
2024-04-22,2935,5,55,4.02,5.4,0,784006.87
2024-04-23,2374,3,72,23.93,9.3,0,650831.9
2024-04-23,1742,2,40,27.08,7.3,0,483878.36
2024-04-23,3018,4,40,0.43,8.4,0,904361.44
2024-04-24,589,1,39,15.42,7.8,0,244486.21
2024-04-24,2307,3,53,15.77,8.7,0,672083.85
2024-04-24,3174,4,74,23.91,8.6,0,828619.04
2024-04-25,2528,4,73,11.96,7.9,0,705610.7
2024-04-25,2754,4,64,9.66,5.8,0,709290.53
2024-04-25,2270,4,40,21.54,4.5,1,637243.48
2024-04-26,2842,5,7,13.4,9.4,1,903762.59
2024-04-26,2930,4,73,8.08,9.8,1,849623.44
2024-04-26,631,2,32,27.37,9.6,0,294481.3
2024-04-27,837,2,78,22.81,3.7,1,224986.22
2024-04-27,702,1,83,11.6,5.0,0,171513.67
2024-04-27,2715,4,23,12.98,4.3,1,756343.8
2024-04-28,2647,4,41,18.03,6.6,0,718303.0
2024-04-28,2544,5,84,26.61,6.0,0,628568.65
2024-04-28,2691,4,28,7.79,6.2,0,749347.36
2024-05-01,1153,1,78,9.89,7.6,0,390435.2
2024-05-01,1802,3,63,22.51,4.8,0,473449.35
2024-05-01,3061,5,30,13.66,7.8,0,880526.08
2024-05-02,1217,3,58,19.73,6.0,0,422604.26
2024-05-02,1759,3,52,6.51,9.7,0,599652.51
2024-05-02,839,1,31,13.97,4.8,0,267294.8
2024-05-03,921,2,46,6.09,9.4,0,389052.05
2024-05-03,1379,2,47,22.01,8.9,0,447674.99
2024-05-03,695,1,59,16.13,9.1,0,281163.25
2024-05-04,575,1,7,15.73,3.7,0,244620.39
2024-05-04,3116,4,19,24.3,3.7,1,842371.04
2024-05-04,2934,5,7,13.61,7.0,1,891307.02
2024-05-05,1463,2,1,3.66,9.1,1,597724.2
2024-05-05,2616,3,23,7.94,9.7,0,815020.01
2024-05-05,2603,4,67,5.21,9.1,0,751588.53
2024-05-06,686,2,79,22.0,4.3,1,185503.66
2024-05-06,2354,4,26,20.74,4.5,0,641178.62
2024-05-06,638,1,55,12.46,8.1,0,320643.44
2024-05-07,2160,3,77,12.31,3.9,0,542891.64
2024-05-07,775,2,7,2.84,8.4,0,366701.88
2024-05-07,2492,3,40,13.07,5.3,0,636496.42
2024-05-08,2069,2,21,22.31,6.9,1,618369.99
2024-05-08,1135,3,12,23.02,7.1,0,413694.75
2024-05-08,1196,2,71,27.31,5.2,0,275955.19
2024-05-09,2436,4,76,22.47,7.6,0,642283.36
2024-05-09,2974,4,1,6.86,4.6,0,855808.22
2024-05-09,2824,4,71,27.57,4.4,0,687957.27
2024-05-10,2645,4,84,24.53,8.0,0,711395.06
2024-05-10,1477,2,4,15.04,7.9,0,521029.13
2024-05-10,959,1,58,1.35,3.9,0,266052.42
2024-05-11,1899,3,80,12.45,9.5,1,611865.23
2024-05-11,1505,3,34,24.51,9.7,0,508613.95
2024-05-11,1931,3,43,9.52,9.1,1,653608.31
2024-05-12,2617,4,57,20.72,8.7,1,791852.07
2024-05-12,2873,4,15,2.75,6.1,0,860787.32
2024-05-12,1455,2,71,18.06,6.6,0,424553.04
2024-05-13,2608,5,50,21.0,5.3,0,695947.41
2024-05-13,1399,3,10,15.56,5.7,0,480210.64
2024-05-13,2588,3,31,12.26,7.4,0,749615.93
2024-05-14,1558,2,84,22.3,9.2,0,434580.87
2024-05-14,1238,1,30,18.02,7.9,0,384433.33
2024-05-14,1255,2,12,21.92,7.3,0,402618.85
2024-05-15,2627,4,26,6.74,9.1,0,817888.59
2024-05-15,3166,4,64,16.73,3.5,0,741826.93
2024-05-15,1131,2,69,23.9,8.2,0,376633.91
2024-05-16,2641,4,20,15.35,7.0,0,746793.82
2024-05-16,2710,5,20,27.16,6.8,0,760051.29
2024-05-16,982,1,16,10.81,8.1,0,398042.68
2024-05-17,1845,3,83,13.4,5.0,0,479824.73
2024-05-17,2696,4,60,14.06,6.9,0,706152.29
2024-05-17,1619,2,18,8.05,8.9,0,543321.93
2024-05-18,2628,3,60,12.99,9.0,0,742751.73
2024-05-18,796,2,40,12.98,4.6,1,306807.65
2024-05-18,2782,5,20,13.95,9.2,0,825712.93
2024-05-19,3159,5,68,21.16,5.4,0,781930.26
2024-05-19,562,1,83,19.21,7.2,0,196461.82
2024-05-19,1799,4,78,21.38,3.7,0,430566.21
2024-05-20,3016,5,82,9.94,9.7,0,879585.08
2024-05-20,1873,3,30,15.46,8.7,0,601500.59
2024-05-20,1954,2,44,17.99,4.8,0,486127.32
2024-05-21,1326,2,66,20.55,7.7,0,408546.24
2024-05-21,1430,1,34,2.76,4.6,0,422364.95
2024-05-21,1183,2,71,21.79,6.2,0,336647.44
2024-05-22,1772,3,47,17.4,4.4,0,471053.82
2024-05-22,1119,2,21,14.09,3.7,0,327233.33
2024-05-22,937,1,22,6.84,7.4,0,371475.62
2024-05-23,1360,1,18,2.05,3.5,0,428182.26
2024-05-23,677,2,4,12.0,3.8,1,311004.42
2024-05-23,708,1,12,17.54,5.8,0,293165.18
2024-05-24,2013,3,6,18.91,4.8,0,586887.02
2024-05-24,2584,3,16,11.94,9.4,0,777529.68
2024-05-24,2010,3,8,16.79,6.7,0,594250.82
2024-05-25,2614,4,53,0.55,9.4,1,839544.39
2024-05-25,2461,3,54,12.26,4.4,0,651187.77
2024-05-25,1332,1,72,1.92,6.1,0,380187.02
2024-05-26,1223,2,25,11.57,5.7,0,418702.32
2024-05-26,897,1,79,27.49,7.2,0,243520.75
2024-05-26,1169,2,65,17.85,9.0,0,429694.99
2024-05-27,2624,3,67,17.08,7.7,0,732745.34
2024-05-27,2148,3,4,24.93,9.4,0,668543.36
2024-05-27,2458,4,54,3.84,6.9,0,726863.6
2024-05-28,1314,2,69,5.75,4.5,0,378216.63
2024-05-28,2669,5,36,21.6,9.8,0,832557.93
2024-05-28,2459,3,83,7.25,5.7,0,628086.72
2024-06-01,3165,5,20,24.97,5.5,0,853694.91
2024-06-01,793,1,63,9.05,8.3,0,330711.66
2024-06-01,2285,3,0,7.65,5.2,0,672177.43
2024-06-02,1308,2,26,3.15,9.3,0,496231.3
2024-06-02,3147,4,7,25.98,6.0,0,829006.95
2024-06-02,995,2,32,21.45,8.6,0,386439.87
2024-06-03,1332,2,68,3.96,8.4,0,463696.83
2024-06-03,2170,3,84,13.33,5.2,0,532679.78
2024-06-03,2159,4,2,6.47,6.7,0,694840.98
2024-06-04,2838,5,54,0.79,8.5,1,893965.69
2024-06-04,2206,3,60,20.78,6.9,0,585643.59
2024-06-04,1234,3,38,0.23,6.6,1,470209.07
2024-06-05,958,2,36,3.16,6.7,0,379766.34
2024-06-05,1779,3,84,16.78,7.6,0,476587.91
2024-06-05,603,1,15,4.14,3.7,0,232636.68
2024-06-06,990,2,45,27.46,5.9,1,328110.67
2024-06-06,2982,5,54,21.23,7.6,0,804580.46
2024-06-06,612,1,81,10.66,9.7,0,260320.59
2024-06-07,1117,2,10,2.8,7.8,0,457667.03
2024-06-07,1666,2,24,7.33,4.3,0,491886.35
2024-06-07,1135,1,6,0.65,8.2,1,511256.18
2024-06-08,1215,1,60,19.8,3.9,0,305323.14
2024-06-08,2797,4,2,10.48,5.5,0,764987.39
2024-06-08,1729,2,12,6.07,4.7,0,523311.22
2024-06-09,1663,3,21,25.88,4.9,0,469591.85
2024-06-09,1606,2,78,15.28,6.0,0,420319.24
2024-06-09,2799,4,14,17.56,9.4,0,817787.31
2024-06-10,2160,3,16,14.87,7.8,0,643885.01
2024-06-10,972,1,53,23.69,7.6,0,313236.87
2024-06-10,1718,2,44,19.71,5.4,0,470326.74
2024-06-11,1642,2,64,0.23,5.5,0,501789.07
2024-06-11,2643,4,0,17.46,5.8,0,775069.82
2024-06-11,3064,4,69,20.15,4.1,0,722011.73
2024-06-12,1321,2,36,17.39,4.4,0,410008.95
2024-06-12,3042,4,55,26.84,7.9,0,805249.51
2024-06-12,2732,3,84,9.23,7.3,0,695325.49
2024-06-13,2957,5,15,22.46,7.0,1,865373.85
2024-06-13,2144,3,61,14.19,5.4,0,551692.85
2024-06-13,2529,5,59,14.18,6.6,0,673720.34
2024-06-14,714,1,49,12.79,8.6,0,329434.79
2024-06-14,1318,2,33,25.76,6.7,0,397808.03
2024-06-14,1995,3,81,14.56,7.4,1,589886.16
2024-06-15,732,1,47,16.63,9.6,0,341563.64
2024-06-15,599,1,78,22.94,7.1,0,175625.92
2024-06-15,980,1,66,2.74,7.8,0,359832.32
2024-06-16,2480,3,36,3.77,8.1,0,745732.71
2024-06-16,2618,3,66,18.16,5.0,0,663257.92
2024-06-16,1183,1,33,21.44,4.6,0,307484.96
2024-06-17,1296,1,80,25.33,8.5,0,365313.59
2024-06-17,2649,4,21,10.78,3.9,0,727279.23
2024-06-17,579,1,1,8.09,8.9,0,321350.21
2024-06-18,1749,3,63,17.89,8.3,0,500733.96
2024-06-18,2126,4,31,11.24,6.9,0,674114.57
2024-06-18,3089,5,16,25.64,5.3,0,817532.53
2024-06-19,2136,4,21,9.24,3.6,0,547240.71
2024-06-19,2636,4,8,15.32,6.3,0,753233.16
2024-06-19,1714,2,11,12.37,9.7,0,588667.68
2024-06-20,2014,4,56,25.52,9.1,0,613032.83
2024-06-20,1666,2,22,21.06,9.4,0,525687.64
2024-06-20,1584,3,63,13.5,4.6,0,432792.93
2024-06-21,2524,3,78,1.83,7.2,1,751700.05
2024-06-21,736,1,2,15.71,5.8,0,285152.74
2024-06-21,3068,4,57,25.42,4.2,0,758052.77
