snapshot_date,tenure_months,logins_30d,support_tickets_30d,monthly_spend,recent_price_rise,churned
2024-02-05,38,10,7,78.98,1,0
2024-02-06,44,23,2,86.45,0,0
2024-02-06,22,12,2,101.52,0,0
2024-02-06,43,18,4,121.21,0,0
2024-02-06,68,3,5,144.63,0,0
2024-02-06,29,14,0,84.71,0,0
2024-02-07,10,20,6,107.79,0,0
2024-02-07,28,17,1,122.66,0,0
2024-02-07,49,16,2,159.47,0,0
2024-02-07,4,23,4,103.43,0,0
2024-02-07,15,2,1,77.36,0,0
2024-02-08,36,35,5,129.09,0,0
2024-02-08,42,20,7,144.73,0,0
2024-02-08,17,10,0,110.68,0,0
2024-02-08,26,26,1,69.68,0,0
2024-02-08,53,10,4,143.94,0,0
2024-02-09,22,28,1,132.11,0,0
2024-02-09,42,5,6,109.04,0,1
2024-02-09,41,14,3,152.4,0,0
2024-02-09,43,25,3,88.49,0,0
2024-02-09,16,0,2,49.1,0,1
2024-02-10,18,20,5,67.76,0,0
2024-02-10,46,8,4,129.44,0,0
2024-02-10,57,6,7,169.37,0,0
2024-02-10,4,28,5,76.87,1,1
2024-02-10,71,34,1,154.46,1,0
2024-02-11,19,20,1,80.6,0,0
2024-02-11,1,0,5,88.47,0,1
2024-02-11,67,22,6,132.35,0,0
2024-02-11,60,7,6,122.16,0,1
2024-02-11,28,27,0,116.64,0,0
2024-02-12,23,12,0,78.64,1,0
2024-02-12,56,29,7,143.04,0,0
2024-02-12,28,9,4,67.65,0,1
2024-02-12,61,25,7,140.52,0,0
2024-02-12,39,30,5,123.65,1,0
2024-02-13,46,32,3,102.24,0,0
2024-02-13,17,33,7,70.12,0,0
2024-02-13,19,7,6,79.8,0,1
2024-02-13,67,8,3,118.93,0,0
2024-02-13,5,26,3,61.14,0,0
2024-02-14,53,15,4,115.65,0,0
2024-02-14,43,8,1,189.87,0,0
2024-02-14,29,26,5,112.32,0,0
2024-02-14,43,12,7,125.3,0,1
2024-02-14,44,19,0,200.85,1,0
2024-02-15,48,7,1,110.73,1,1
2024-02-15,20,7,1,87.73,0,0
2024-02-15,72,27,4,131.75,0,0
2024-02-15,59,9,7,163.32,0,0
2024-02-15,45,20,7,155.59,0,0
2024-02-16,19,18,7,70.42,0,1
2024-02-16,41,22,4,73.04,0,0
2024-02-16,69,6,5,121.02,0,0
2024-02-16,71,28,0,164.18,0,0
2024-02-16,20,0,3,52.82,0,1
2024-02-17,0,15,5,33.05,0,1
2024-02-17,9,20,1,26.3,0,0
2024-02-17,56,21,6,139.82,0,0
2024-02-17,54,25,0,124.91,0,0
2024-02-17,28,21,4,95.97,0,0
2024-02-18,5,9,6,70.7,0,1
2024-02-18,45,1,6,127.26,0,0
2024-02-18,55,6,3,154.3,0,0
2024-02-18,15,14,7,67.82,0,0
2024-02-18,22,7,3,84.95,0,0
2024-02-19,24,30,2,104.62,1,0
2024-02-19,29,2,2,89.74,0,0
2024-02-19,37,1,0,85.07,1,1
2024-02-19,61,2,1,144.45,0,0
2024-02-19,29,30,5,90.0,0,0
2024-02-20,51,29,0,105.56,0,0
2024-02-20,41,5,0,84.83,1,1
2024-02-20,36,33,3,136.02,0,0
2024-02-20,23,9,7,125.11,0,0
2024-02-20,31,12,3,79.42,0,0
2024-02-21,14,16,4,74.29,0,0
2024-02-21,45,16,2,115.62,0,0
2024-02-21,49,27,3,120.18,0,0
2024-02-21,10,5,2,68.05,0,0
2024-02-21,4,28,4,37.91,0,1
2024-02-22,19,33,2,59.4,0,0
2024-02-22,58,13,6,122.23,0,0
2024-02-22,34,0,2,78.04,1,0
2024-02-22,53,28,4,124.5,0,0
2024-02-22,39,30,4,94.76,0,0
2024-02-23,37,30,0,124.69,0,0
2024-02-23,58,24,0,141.64,0,0
2024-02-23,14,11,5,82.51,0,1
2024-02-23,18,5,2,97.33,0,0
2024-02-23,36,13,7,133.46,0,0
2024-02-24,12,1,5,75.56,0,1
2024-02-24,32,26,6,103.99,0,0
2024-02-24,10,23,6,106.8,0,0
2024-02-24,43,3,6,114.59,0,0
2024-02-24,71,17,4,159.83,0,0
2024-02-25,9,27,1,80.94,1,0
2024-02-25,18,25,1,87.27,1,0
2024-02-25,1,33,2,51.68,0,0
2024-02-25,56,25,6,98.97,0,0
2024-02-25,22,26,7,47.0,0,1
2024-02-26,15,31,4,69.51,1,0
2024-02-26,30,12,6,89.28,0,0
2024-02-26,18,34,1,77.2,0,0
2024-02-26,45,9,5,90.63,0,0
2024-02-26,67,10,4,165.37,0,0
2024-02-27,29,21,3,40.07,0,0
2024-02-27,63,0,0,145.51,0,0
2024-02-27,30,33,0,130.94,0,0
2024-02-27,69,16,4,128.83,0,0
2024-02-27,7,25,3,48.71,0,0
2024-02-28,33,15,7,81.82,0,1
2024-02-28,5,4,0,36.77,0,1
2024-02-28,50,22,5,156.43,1,0
2024-02-28,48,6,4,55.03,0,0
2024-02-28,37,21,5,95.88,0,0
2024-03-01,20,24,7,72.5,0,0
2024-03-01,3,9,4,42.17,1,1
2024-03-01,59,11,1,144.49,0,0
2024-03-01,20,1,4,46.68,1,1
2024-03-01,41,9,7,88.78,0,1
2024-03-02,38,0,6,101.78,0,0
2024-03-02,3,0,1,65.65,0,0
2024-03-02,70,9,2,162.7,0,0
2024-03-02,38,5,2,144.07,0,0
2024-03-02,6,31,2,95.59,1,0
2024-03-03,34,7,0,81.83,0,0
2024-03-03,22,7,3,116.58,0,0
2024-03-03,17,34,3,81.1,0,1
2024-03-03,17,34,0,135.52,1,0
2024-03-03,2,35,6,39.06,0,0
2024-03-04,13,23,5,90.77,0,0
2024-03-04,9,28,3,105.97,0,0
2024-03-04,4,17,1,63.52,0,0
2024-03-04,66,31,4,195.99,0,0
2024-03-04,21,10,6,51.05,0,0
2024-03-05,4,22,0,18.71,0,0
2024-03-05,34,22,2,99.02,0,0
2024-03-05,34,31,0,75.67,0,0
2024-03-05,7,0,3,121.29,0,1
2024-03-05,21,15,6,78.42,0,0
2024-03-06,38,15,5,94.27,1,0
2024-03-06,66,33,7,162.88,1,0
2024-03-06,6,2,4,95.36,0,1
2024-03-06,65,25,2,171.01,0,0
2024-03-06,0,19,2,18.68,0,1
2024-03-07,70,15,1,167.54,0,0
2024-03-07,40,6,4,116.07,0,0
2024-03-07,9,16,2,39.36,0,1
2024-03-07,65,34,1,125.88,1,0
2024-03-07,70,14,2,149.34,0,0
2024-03-08,53,32,5,159.18,0,0
2024-03-08,42,18,0,131.48,0,0
2024-03-08,0,29,5,23.26,0,1
2024-03-08,40,27,5,87.06,0,0
2024-03-08,41,27,2,120.3,0,0
2024-03-09,14,31,7,104.1,0,0
2024-03-09,4,18,3,29.2,0,1
2024-03-09,39,19,2,108.47,0,0
2024-03-09,56,30,3,154.1,1,0
2024-03-09,72,7,6,163.31,0,0
2024-03-10,62,28,1,127.27,1,0
2024-03-10,59,22,7,96.16,0,0
2024-03-10,48,18,4,136.05,0,0
2024-03-10,48,10,6,133.28,1,0
2024-03-10,38,32,7,107.93,0,0
2024-03-11,14,13,0,83.61,0,1
2024-03-11,71,28,2,182.4,0,0
2024-03-11,21,5,5,91.57,0,1
2024-03-11,41,21,3,155.45,0,0
2024-03-11,54,4,7,157.18,0,0
2024-03-12,45,7,0,139.15,0,0
2024-03-12,42,34,0,106.95,0,0
2024-03-12,49,15,4,83.94,0,0
2024-03-12,29,16,7,77.36,0,0
2024-03-12,37,15,2,96.17,0,0
2024-03-13,21,20,4,103.28,0,0
2024-03-13,55,6,2,143.26,0,0
2024-03-13,63,26,3,127.77,0,0
2024-03-13,38,0,3,69.69,1,1
2024-03-13,0,31,0,58.64,1,0
2024-03-14,47,11,3,128.88,0,0
2024-03-14,21,13,3,117.88,0,0
2024-03-14,52,21,0,119.79,0,0
2024-03-14,21,18,6,100.58,0,0
2024-03-14,44,23,1,138.45,0,0
2024-03-15,57,35,5,98.29,0,0
2024-03-15,66,24,1,153.85,0,0
2024-03-15,66,10,3,136.94,0,0
2024-03-15,24,16,1,91.07,0,0
2024-03-15,25,4,6,34.74,0,0
2024-03-16,35,1,0,99.64,0,0
2024-03-16,28,14,7,104.34,0,0
2024-03-16,51,15,3,144.6,0,0
2024-03-16,14,6,1,21.56,0,0
2024-03-16,8,3,0,56.94,0,0
2024-03-17,43,34,6,97.01,0,0
2024-03-17,41,7,3,107.64,0,0
2024-03-17,56,34,1,156.26,0,0
2024-03-17,34,17,7,93.3,1,1
2024-03-17,29,34,3,58.94,0,0
2024-03-18,52,20,5,129.37,0,0
2024-03-18,42,21,7,119.28,1,0
2024-03-18,61,4,5,83.08,0,0
2024-03-18,64,30,3,141.45,0,0
2024-03-18,52,16,7,150.01,0,0
2024-03-19,1,33,6,59.71,0,1
2024-03-19,13,26,1,78.4,0,0
2024-03-19,59,22,2,174.34,0,0
2024-03-19,5,33,1,68.79,0,0
2024-03-19,35,35,4,77.38,0,0
2024-03-20,41,15,3,58.51,0,0
2024-03-20,22,8,3,103.01,1,1
2024-03-20,36,16,6,91.0,1,1
2024-03-20,23,26,4,83.8,0,1
2024-03-20,18,35,4,91.22,0,1
2024-03-21,29,27,6,69.6,0,0
2024-03-21,14,17,6,94.75,0,1
2024-03-21,44,3,1,81.89,0,0
2024-03-21,63,17,4,135.35,0,0
2024-03-21,41,26,4,103.37,0,0
2024-03-22,44,31,1,105.73,0,0
2024-03-22,35,1,4,130.09,0,0
2024-03-22,42,2,6,105.96,1,0
2024-03-22,13,9,0,100.15,0,0
2024-03-22,44,20,0,118.42,0,0
2024-03-23,53,8,3,156.99,0,0
2024-03-23,20,6,1,54.74,0,0
2024-03-23,6,5,5,41.46,0,1
2024-03-23,62,8,5,139.77,0,0
2024-03-23,36,18,3,107.18,0,0
2024-03-24,50,18,4,75.37,0,0
2024-03-24,67,27,5,164.77,0,0
2024-03-24,66,34,7,170.93,0,0
2024-03-24,37,22,2,102.16,0,0
2024-03-24,53,8,4,153.62,1,0
2024-03-25,0,14,3,101.11,0,1
2024-03-25,69,18,7,177.24,0,0
2024-03-25,22,24,4,65.34,0,0
2024-03-25,29,1,6,128.22,0,0
2024-03-25,65,14,2,173.71,1,0
2024-03-26,4,30,4,84.75,0,0
2024-03-26,38,25,6,95.54,0,0
2024-03-26,14,14,1,101.09,0,0
2024-03-26,11,20,7,103.72,0,0
2024-03-26,46,4,0,129.49,0,0
2024-03-27,60,32,6,142.34,1,0
2024-03-27,21,10,2,120.57,0,0
2024-03-27,34,31,7,104.08,1,1
2024-03-27,28,10,0,91.19,0,0
2024-03-27,25,11,0,124.69,0,0
2024-03-28,57,0,3,113.45,0,0
2024-03-28,12,35,1,87.92,0,0
2024-03-28,56,11,0,124.31,0,0
2024-03-28,65,20,7,150.04,0,0
2024-03-28,1,26,7,75.59,0,0
2024-04-01,50,2,2,152.61,0,0
2024-04-01,45,19,2,118.11,0,0
2024-04-01,41,29,1,141.34,0,0
2024-04-01,60,28,2,167.62,0,0
2024-04-01,22,24,6,88.05,0,1
2024-04-02,35,29,1,104.35,0,0
2024-04-02,29,12,1,142.79,1,1
2024-04-02,58,8,7,105.89,0,0
2024-04-02,11,33,4,13.11,1,0
2024-04-02,4,35,6,72.9,0,0
2024-04-03,6,12,7,33.75,0,1
2024-04-03,52,23,0,126.65,0,0
2024-04-03,71,13,0,132.54,0,0
2024-04-03,13,13,4,56.64,0,1
2024-04-03,65,23,5,188.82,0,0
2024-04-04,30,19,3,89.9,1,0
2024-04-04,21,14,3,59.46,0,0
2024-04-04,3,21,7,37.51,0,1
2024-04-04,58,34,5,142.51,0,0
2024-04-04,52,6,1,95.76,1,1
2024-04-05,21,16,5,105.0,0,0
2024-04-05,40,24,5,114.31,0,0
2024-04-05,64,22,0,167.5,0,0
2024-04-05,71,20,0,184.89,1,0
2024-04-05,21,35,1,91.85,0,0
2024-04-06,31,15,2,121.42,0,0
2024-04-06,39,24,7,100.74,0,0
2024-04-06,53,0,7,119.46,0,0
2024-04-06,67,7,6,125.11,0,0
2024-04-06,35,16,7,100.69,0,0
2024-04-07,43,16,6,101.75,0,0
2024-04-07,24,20,1,66.86,0,0
2024-04-07,37,10,5,85.71,0,0
2024-04-07,34,23,4,120.87,0,0
2024-04-07,28,21,0,62.68,1,0
2024-04-08,71,34,0,133.25,0,0
2024-04-08,31,23,4,136.36,1,1
2024-04-08,50,20,5,85.2,1,0
2024-04-08,40,19,1,113.59,0,0
2024-04-08,55,25,0,129.69,1,0
2024-04-09,22,9,3,119.17,0,0
2024-04-09,67,18,7,120.58,1,0
2024-04-09,37,3,1,108.6,0,0
2024-04-09,2,11,5,66.57,0,1
2024-04-09,64,22,6,138.34,0,0
2024-04-10,34,22,0,122.67,0,0
2024-04-10,54,34,2,103.94,0,0
2024-04-10,69,1,1,156.81,0,0
2024-04-10,39,18,6,111.63,0,0
2024-04-10,29,35,2,78.99,0,0
2024-04-11,33,34,2,81.39,0,1
2024-04-11,26,31,1,116.97,0,0
2024-04-11,54,29,6,133.23,0,0
2024-04-11,54,13,7,125.84,0,0
2024-04-11,56,19,0,146.9,0,0
2024-04-12,6,26,5,46.7,0,1
2024-04-12,16,2,6,82.46,0,1
2024-04-12,22,35,4,32.4,1,0
2024-04-12,11,7,5,69.92,1,1
2024-04-12,21,30,4,72.51,0,0
2024-04-13,57,14,0,159.36,0,0
2024-04-13,41,23,6,92.25,0,0
2024-04-13,19,24,6,82.32,0,0
2024-04-13,38,23,2,109.53,1,0
2024-04-13,25,31,1,101.44,0,0
2024-04-14,71,5,7,137.9,0,0
2024-04-14,64,5,4,105.55,0,0
2024-04-14,2,25,0,71.19,0,0
2024-04-14,59,21,1,127.04,0,0
2024-04-14,42,27,6,93.56,0,0
2024-04-15,57,20,6,167.34,0,0
2024-04-15,6,20,0,58.2,0,0
2024-04-15,20,22,4,85.29,0,0
2024-04-15,16,12,5,96.76,0,0
2024-04-15,72,2,7,163.56,0,0
2024-04-16,5,27,7,87.88,0,1
2024-04-16,52,6,5,156.51,0,0
2024-04-16,40,25,7,147.76,1,0
2024-04-16,69,24,1,170.04,0,0
2024-04-16,56,11,1,123.57,0,0
2024-04-17,5,11,7,94.78,0,1
2024-04-17,9,13,1,23.5,0,1
2024-04-17,59,14,1,108.56,0,0
2024-04-17,40,22,3,80.7,0,0
2024-04-17,25,32,5,96.89,0,0
2024-04-18,31,1,7,92.43,0,1
2024-04-18,13,16,0,75.86,0,0
2024-04-18,11,22,7,113.04,0,0
2024-04-18,61,22,4,114.74,0,0
2024-04-18,11,30,5,21.42,0,1
2024-04-19,21,27,7,113.89,0,0
2024-04-19,69,4,5,174.06,0,0
2024-04-19,69,27,5,141.27,1,0
2024-04-19,27,11,3,115.36,1,1
2024-04-19,31,1,5,60.45,0,0
2024-04-20,46,27,0,126.52,0,0
2024-04-20,15,16,4,78.03,0,0
2024-04-20,24,22,7,86.56,0,1
2024-04-20,56,26,6,99.94,0,0
2024-04-20,71,3,0,142.1,1,0
2024-04-21,17,0,2,27.57,0,1
2024-04-21,49,8,3,139.66,0,0
2024-04-21,59,27,0,159.67,0,0
2024-04-21,29,10,5,53.39,0,0
2024-04-21,29,24,6,93.72,0,1
2024-04-22,14,22,1,32.62,0,0
2024-04-22,66,8,6,157.54,0,0
2024-04-22,10,8,0,89.37,0,1
2024-04-22,62,35,1,140.62,0,0
2024-04-22,11,23,2,35.4,0,0
2024-04-23,27,13,3,75.94,0,0
2024-04-23,1,14,5,20.12,0,1
2024-04-23,59,5,1,95.37,0,0
2024-04-23,3,12,4,52.79,0,0
2024-04-23,31,28,0,119.35,1,0
2024-04-24,29,20,1,75.89,0,1
2024-04-24,66,16,7,171.64,0,0
2024-04-24,43,24,4,151.6,0,0
2024-04-24,17,4,5,118.02,0,0
2024-04-24,33,14,5,76.24,0,0
2024-04-25,47,7,0,96.16,1,0
2024-04-25,18,17,3,66.0,0,0
2024-04-25,4,33,4,14.47,0,0
2024-04-25,43,2,7,88.21,0,0
2024-04-25,65,9,2,141.84,0,0
2024-04-26,19,28,2,85.81,0,0
2024-04-26,13,3,5,105.36,0,1
2024-04-26,57,5,4,130.69,0,0
2024-04-26,53,9,2,129.17,0,0
2024-04-26,29,15,5,102.83,0,1
2024-04-27,48,0,0,121.4,0,0
2024-04-27,1,23,5,62.86,0,0
2024-04-27,36,8,7,128.79,0,0
2024-04-27,9,2,5,118.62,0,1
2024-04-27,4,0,4,106.8,0,1
2024-04-28,21,20,2,90.26,1,0
2024-04-28,63,32,0,166.65,1,0
2024-04-28,55,29,2,128.33,0,0
2024-04-28,53,10,7,193.11,0,0
2024-04-28,30,5,0,97.62,0,0
2024-05-01,45,22,1,60.48,0,0
2024-05-01,63,5,6,118.03,0,0
2024-05-01,24,19,5,71.77,0,0
2024-05-01,7,9,1,37.16,0,1
2024-05-01,36,21,5,110.84,0,0
2024-05-02,33,14,5,102.99,0,0
2024-05-02,14,20,7,86.93,0,0
2024-05-02,4,31,3,76.07,0,0
2024-05-02,11,4,5,45.51,0,0
2024-05-02,24,14,0,60.67,1,0
2024-05-03,15,21,6,52.75,0,1
2024-05-03,37,25,7,147.71,0,0
2024-05-03,44,14,6,147.28,0,0
2024-05-03,63,24,6,126.46,0,0
2024-05-03,14,12,5,93.96,0,1
2024-05-04,18,21,1,109.62,0,0
2024-05-04,57,29,6,134.97,0,0
2024-05-04,72,16,3,156.28,0,0
2024-05-04,56,18,6,122.47,0,0
2024-05-04,3,33,7,19.17,0,1
2024-05-05,59,25,0,116.12,1,0
2024-05-05,52,19,1,149.81,0,0
2024-05-05,54,26,1,92.41,0,0
2024-05-05,0,27,7,50.35,0,0
2024-05-05,35,5,1,102.54,0,0
2024-05-06,28,1,7,38.61,0,1
2024-05-06,72,11,3,141.23,0,0
2024-05-06,28,15,4,53.0,0,1
2024-05-06,27,12,3,95.62,0,0
2024-05-06,31,8,1,84.94,0,0
2024-05-07,29,25,2,94.95,0,0
2024-05-07,68,16,2,174.58,0,0
2024-05-07,31,1,0,118.08,0,0
2024-05-07,50,19,2,90.32,0,0
2024-05-07,7,2,3,55.91,0,0
2024-05-08,22,22,4,128.48,0,0
2024-05-08,55,8,7,176.92,0,0
2024-05-08,63,5,2,118.18,0,0
2024-05-08,34,30,0,81.52,0,0
2024-05-08,62,10,6,134.15,0,0
2024-05-09,65,8,0,137.06,0,0
2024-05-09,63,8,7,171.53,0,0
2024-05-09,10,24,2,42.31,0,0
2024-05-09,30,9,0,118.79,0,0
2024-05-09,21,5,3,107.9,1,0
2024-05-10,64,2,1,102.31,0,0
2024-05-10,0,20,5,33.55,0,1
2024-05-10,13,17,7,47.25,0,0
2024-05-10,47,19,2,115.44,1,0
2024-05-10,24,35,3,126.82,0,0
2024-05-11,17,17,6,107.75,0,0
2024-05-11,50,33,4,106.28,0,0
2024-05-11,40,0,0,132.79,0,0
2024-05-11,37,28,4,120.75,0,1
2024-05-11,25,17,4,92.58,0,0
2024-05-12,23,29,2,91.47,0,0
2024-05-12,21,19,2,39.07,0,0
2024-05-12,33,3,3,157.79,0,0
2024-05-12,47,0,7,119.9,0,0
2024-05-12,26,1,0,91.51,1,0
2024-05-13,66,1,1,160.05,0,0
2024-05-13,59,17,3,124.1,0,0
2024-05-13,4,32,3,93.55,0,0
2024-05-13,1,21,3,14.47,0,1
2024-05-13,47,8,6,85.02,0,0
2024-05-14,66,21,5,95.35,0,0
2024-05-14,68,16,2,190.33,1,0
2024-05-14,10,22,3,62.99,0,0
2024-05-14,42,28,1,140.03,0,0
2024-05-14,9,32,5,66.98,0,0
2024-05-15,48,6,3,163.07,0,0
2024-05-15,10,8,3,75.22,0,0
2024-05-15,12,26,5,52.38,0,0
2024-05-15,59,26,3,153.33,1,0
2024-05-15,25,34,7,104.86,0,0
2024-05-16,25,9,0,83.39,0,0
2024-05-16,25,25,2,77.52,1,0
2024-05-16,37,18,6,135.49,1,0
2024-05-16,5,31,6,53.89,0,0
2024-05-16,62,34,2,148.58,0,0
2024-05-17,45,28,4,135.47,1,1
2024-05-17,9,35,2,96.56,0,0
2024-05-17,55,2,3,122.34,1,0
2024-05-17,37,8,0,123.37,0,0
2024-05-17,31,19,2,96.61,0,0
2024-05-18,54,10,4,158.7,1,0
2024-05-18,27,35,0,80.25,0,0
2024-05-18,9,32,2,37.64,0,0
2024-05-18,2,8,5,24.54,0,1
2024-05-18,40,12,3,115.02,1,1
2024-05-19,70,23,5,140.82,0,0
2024-05-19,4,15,6,82.94,0,1
2024-05-19,66,24,6,127.6,1,0
2024-05-19,46,31,6,133.06,1,0
2024-05-19,37,3,7,134.69,0,1
2024-05-20,61,32,5,145.49,0,0
2024-05-20,15,29,2,67.1,0,0
2024-05-20,20,26,1,79.1,0,0
2024-05-20,8,17,1,95.15,0,0
2024-05-20,65,32,7,161.07,1,0
2024-05-21,15,11,7,78.3,0,1
2024-05-21,72,2,6,145.51,0,0
